title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Duplex à louer à Angré 8e Tranche cité Arcade,1.000.000 FCFA,"Angre 8e tranche, Abidjan, Cocody angre",400.00 m2 m2,Maison,5,5,2024-08-20 12:28:35,Maury Sylla,https://batirici-immobilier.com/properties/duplex-a-louer-a-angre-8e-tranche-cite-arcade/,"Duplex 6 pièces avec 05 chambres à coucher, grand salon, salle à manger, cour arrière et avant, garage de deux véhicules, un magasin, grande terrasse. Quelques travaux à effectuer. Situé à ANGRÉ 8ÈME TRANCHE (CITÉ ARCADES 1)"
A louer 3 pièces à Angré,200.000 FCFA,"Angré , Abidjan, cocody angre chateau",1.00 m2 m2,Appartement,2,3,2024-08-20 12:28:48,Maury Sylla,https://batirici-immobilier.com/properties/a-louer-3-pieces-a-angre/,"A LOUER nouvelle 3 pièces au rez-de-chaussée à Angré château en finition 2 chambres autonomes terrasse avant et arrière, 3 douches."
A LOUER 04 PIÈCES À COCODY RIVIERA FAYA JULES VERNE,420.000 FCFA,"Faya , Abidjan, Riviera faya Jules verne",100.00 m2 m2,Appartement,3,4,2024-08-20 12:29:03,Marius Kangah Brice Agent Commercial,https://batirici-immobilier.com/properties/a-louer-04-pieces-a-cocody-riviera-faya-jules-verne/,𝑪𝑶𝑪𝑶𝑫𝒀 𝑹𝑰𝑽𝑰𝑬𝑹𝑨 𝑭𝑨𝒀𝑨 𝑱𝑼𝑳𝑬𝑺 𝑽𝑬𝑹𝑵𝑬
Appartement à louer Cocody,175.000 FCFA par mois,"Angré Château, Abidjan, angré chateau",50.00 m2 m2,Appartement,1,2,2024-08-20 12:29:18,Mian,https://batirici-immobilier.com/properties/appartement-a-louer-cocody/,"COCODY ANGRE, non loin de I.T.C.J (Jésuites) EN LOCATION, APPARTEMENTS DE 2 ET 3 PIECES Plusieurs appartements de 2 et 3 pièces de moyen standing en location à Angré entre le château d’eau et le CHU de Angré. 2 pièces avec douche visiteur = 175 000 FCFA 3 pièces avec douche visiteur = 275 000 FCFA Pour plus d’informations, nous contacter aux numéros suivants: 0708116379 0172945157"
Appartement a louer,275.000 FCFA par mois,"Angré Château, Abidjan, angré chateau",50.00 m2 m2,Appartement,2,3,2024-08-20 12:29:31,Mian,https://batirici-immobilier.com/properties/appartement-a-louer/,Nous mettons en location des appartements 3pieces neufs à Angré château avec: 2 chambres autonomes 1 douche visiteur 1 parking interne 1 très grand salon lumineux 1 grand bacon 1 service de gardiennage #Loyer: 275.000 frs
Location conteneur dans les complexes AGORA (PORT BOUET- KOUMASSI-ABOBO-YOPOUGON),80.000 FCFA,"Abidjan Koumassi, Abidjan, KOUMASSI",,Locaux d'activité,,,2024-08-20 12:29:43,,https://batirici-immobilier.com/properties/100-ha-avec-acd-a-vendre-a-angre-extension-a-proximite-de-la-y4-2/,Opportunités de location à ne absolument pas rater.
Séjour – Résidence meublée de 2pieces à la Riviera m’badon ambassade de Chine,30.000 FCFA par jour,,1.00 m2 m2,,1,1,2024-08-20 12:29:57,,https://batirici-immobilier.com/properties/sejour-residence-meublee-de-2pieces-a-la-riviera-mbadon-ambassade-de-chine/,"Résidence meublée de 2pieces à la Riviera m’badon ambassade de Chine, à proximité de l’ambassade composé comme suit Une chambre climatisée, Un grand salon avec un ventilateur silencieux, Une salle à manger, Une télévision 50 pouces connecté, youtube, Netflix, WiFi illimité fibre optique Cuisine entièrement équipée Chauf eau Prix journalier 30.000fr/jour Longs séjours à négocier Contact :0779085470"
Un studio à louer à la rivera abatta carrefour BCAO.,110.000 FCFA par mois,"Riviera  abatta carrefour bcao., Abidjan, Rivera abatta",15.00 m2 m2,Appartement,1,1,2024-08-20 12:30:09,Developpe Toi,https://batirici-immobilier.com/properties/un-studio-a-louer-a-la-rivera-abatta-carrefour-bcao/,Le quartier est bitumé et accessible.
Un appartement de 3PCS à la rivera abatta carrefour bceao.,240.000 FCFA par mois,"Riviera, Abidjan, Rivera abatta",15.00 m2 m2,Appartement,2,2,2024-08-20 12:30:23,Developpe Toi,https://batirici-immobilier.com/properties/un-appartement-de-3pcs-a-la-rivera-abatta-carrefour-bceao/,Un appartement de 3 PCS situé dans un immeuble au deuxième étage.
"Magnifique villa , Riviera 3, CAP  NORD– 150 000 FCFA par jour ou 2 000 000 FCFA par mois (sur un an).",150.000 FCFA par jour,"Riviera 3 Cocody, Abidjan, Rivera 3, Cocody",250.00 m2 m2,Maison,3,3.5,2024-08-20 12:30:36,WCE,https://batirici-immobilier.com/properties/magnifique-villa-riviera-3-cap-nord-150-000-fcfa-par-jour-ou-2-000-000-fcfa-par-mois-sur-un-an/,"La villa se trouve dans le paisible quartier de la Riviera 3 non loin des Ẻcoles et Lycées Internationaux, Blaise Pascal, Jacques Prévert, Jean Mermoz et ICSA et à proximité de nombreux commerces, banques et restaurants. Avec son jardin arboré et fleuri, la villa vous donnera l’envie de passer plusieurs nuits. Découvrez notamment, un grand séjour équipé de Smart-tv, une cuisine moderne entièrement équipée machine à laver et sèche-linge y compris, de même que dans les principales pièces, une vaste salle à manger, un petit salon ou espaces détente, etc. Cette belle demeure, composée de 3 chambres et de 3.5 salles de bain, est entièrement couverte par le wifi. Pour votre SECURITE, la VILLA est située dans une cité calme et très paisible avec vigiles 7Jrs sur 7 et 24H sur 24. Déposez vos valises chez vous, et profitez sereinement d’ABIDJAN !!! LOCATION DE LA VILLA ENTIÈRE * De 1 à 4 jours : 150 000 FCFA par jour * De 5 à 20 jours : 130 000 FCFA par jour * De 21 à 29 jours :115 000 FCFA par jour * A partir de 30 jours : 105 000 FCFA par jour LOCATION DE LA VILLA ENTIÈRE LONG TERME * 2 000 000 FCFA par mois Contact : (225) 0703111181 (également numéro WhatsApp) : (001) 248 953 6919 (WhatsApp seulement) Email : pierre.wassom@hotmail.com"
