title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location studio - Abobo Djibi biabou,85 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",110 m2 m2,Appartements,2,2,2024-08-26 09:26:47,Pierre Touré,https://ci.coinafrique.com/annonce/appartements/location-studio-abobo-djibi-biabou-4854064,"A louer 2pièces au rez-de-chaussée à abobo djibi après biabou sur la voie d alepé. dans un cadre agréable,calme et sécurisé. commodités :2 toilettes, cuisine, placards, staffé lumineux, cour avant individuelle. caution 5mois. nb: frais de visite exigé ."
Location appartement 4 pièces à Ebimpé,23 000 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",,Appartements,3,,2024-08-26 09:26:55,Ben,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-ebimpe-4790464,#vente appartement #4pieces #acd deuxième étage cité aliance #ebimpé   appartement en vente à ebimpé cité alliance 4pieces au 2ème étage  prêt à habiter  situé à proximité du stade ado ebimpé.
Location studio - Abobo N'dotre,60 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",,Appartements,1,2,2024-08-26 09:27:06,Gerard Zé Gueu,https://ci.coinafrique.com/annonce/appartements/location-studio-abobo-ndotre-4820029,Chambre salon a louer à abobo n'dotre nouveau quartier au premier étage
Location appartement 2 pièces  - Abobo,130 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",30 m2 m2,Appartements,2,2,2024-08-26 09:27:16,biegha franck Yao,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-abobo-4740171,2pièces disponible à abobo sotraprim entièrement staffé disposant de 2 balcon et 2 salle de bain et amoire moderne
Location appartement 2 pièces - Abobo sotraprim,130 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",,Appartements,2,2,2024-08-26 09:27:28,biegha franck Yao,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-abobo-sotraprim-4704344,"Nouvelles constructions entièrement staffé disposant de 2 balcon et 2 salle de bain, placard moderne disponible à abobo sotraprim dans environnement sécurisé"
Location appartement 2  pièces - Abobo sotraprim,130 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",,Appartements,2,2,2024-08-26 09:27:36,biegha franck Yao,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-abobo-sotraprim-4704337,"Nouvelles constructions entièrement staffé disposant de 2 balcon et 2 salle de bain, placard moderne disponible à abobo sotraprim dans environnement sécurisé"
Location  appartement 2 pièces  - Abobo,150 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,2,2,2024-08-26 09:27:47,biegha franck Yao,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-abobo-4624314,Des appartements de 2p et une pièces nouvellement construits avec chacun - 1 chambre + placard+salle de bain+ terrasse -1 salon + cuisine+ salle de bain externe + terrasse  st disponible immédiatement à abobo sotraprim non loin de la base onuci avance et caution 5mois
Location appartement 2 pièces - Abobo Sotraprim,150 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,2,2,2024-08-26 09:27:56,biegha franck Yao,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-abobo-sotraprim-4624281,Des appartements de 2p et une pièces nouvellement construits avec chacun - 1 chambre + placard+salle deau+ terrasse -1 salon + cuisine+ salle d'eau externe + terrasse  st disponible immédiatement à abobo sotraprim non loin de la base onuci avance et caution 5mois
Location studio - Cote d'ivoire,100 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",49 m2 m2,Appartements,1,1,2024-08-26 09:28:06,biegha franck Yao,https://ci.coinafrique.com/annonce/appartements/location-studio-cote-divoire-4607965,"Super studio grand appartement doté de placard moderne entièrement staffé d'une cuisine, wc douche et un balcon , nouvelle construction jamais habité toute information inbox"
Location studio -Abobo,50 000 CFA,"Abobo, Abidjan, Côte d'Ivoire",12 m2 m2,Appartements,1,1,2024-08-26 09:28:14,biegha franck Yao,https://ci.coinafrique.com/annonce/appartements/location-studio-abobo-4606840,"Super studios américain à abobo sotraprim avec cuisine,douche wc,deux placard, bien créant av et caution 5mois pour plus d'information inbox whatsapp"
