title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 4 pièces - Attecoubé Locodjro,180 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",,Appartements,4,2,2024-08-26 10:14:18,Dje Franck,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-attecoube-locodjro-4452999,"Nous mettons en location un magnifique et somptueux appartement de type 4 pièces disponible au 4e d'un immeuble situé à attecoubé locodjro route d'abobo-doumé au sein de la magnifique citée addoha situé à 15 minutes du plateau par la lagune, le bien se présente comme suit :  # un séjour lumineux  # 3 chambres dont la principale autonome  # des placards de rangement  # 2 salles d'eau  # une belle cuisine placardée  # installation chauffe eau  # vue lagunaire  # accès facile et bitumé  # un ascenseur disponible  # parking externe  le bien est disponible au prix de : 180.000 fcfa non négociable... n.b: idéal pour bureau comme habitation"
Location appartement 4 pièces - Attecoubé Locodjro,200 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",,Appartements,4,2,2024-08-26 10:14:29,Dje Franck,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-attecoube-locodjro-4383880,"Nous mettons en location un magnifique et somptueux appartement de type 4 pièces disponible au 4e étage d'un immeuble situé à attecoubé locodjro route d'abobo-doumé au sein de la belle citée addoha à 15 minutes du plateau par la lagune , le bien est composé de :  # un séjour lumineux  # 3 chambres  # 2 salles d'eau  # une belle cuisine moderne  # de grands placards de rangement  # installation chauffe eau  # vue lagunaire  # ascenseur disponible 24h/24 # sécurité 24h/24 le bien est disponible au prix de : 200.000 fcfa... y compris toutes les charges d'entretien des parties communes et d'ascenseur  n.b: idéal pour bureau comme habitation"
Location appartement 4 pièces - Attecoubé Locodjro,220 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",,Appartements,4,2,2024-08-26 10:14:40,Dje Franck,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-attecoube-locodjro-4366897,"Nous mettons en location un magnifique et somptueux appartement de 4 pièces disponible au 4e étage d'un immeuble situé à attecoubé locodjro route d'abobo-doumé précisément au sein de la cité addoha à 10 minutes  du plateau par la lagune , le bien est composé :  # un séjour lumineux  # 3 chambres dont la principale autonome  # 2 salles d'eau  # un ascenseur disponible 24h/24 # sécurité 24h/24 # un parking interne  # accès facile et bitumé  # installation chauffe eau  # une belle cuisine moderne  le bien est disponible au prix de : 220.000 fcfa y compris toutes les charges d'entretien des parties communes et d'ascenseur..."
Location appartement  4 pièces - Attecoubé locodjro,220 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",,Appartements,4,2,2024-08-26 10:14:51,Dje Franck,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-attecoube-locodjro-4343864,"Nous mettons en location un magnifique et somptueux appartement de type 4 pièces disponible au 4e étage d'un immeuble situé à Attecoubé locodjro route d'abobo-doumé précisément au sein de la la sublime citée ADDOHA,  le bien est composé de :  # un ascenseur disponible  # un  séjour  # 3 chambres  # 2 salles d'eau  # une belle cuisine moderne placardée  # Installation chauffe eau  # des placards de rangement dans  les chambres  # accès facile et bitumé  # sécurité 24h/24 # vue lagunaire  Le bien est disponible au prix de : 220.000 f cfa y compris toutes les charges d'entretien  de l'immeuble et de l'ascenseur"
Location appartement 04 pièces - Attécoubé,200 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",200 m2,Appartements,4,2,2024-08-26 10:15:01,Grace immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-04-pieces-attecoube-4364170,Location  04 pièces  proche du 4e pont au 02 étage avec ascenseur  facile d'accéder le plateau à partir du 4e pont presque fini. loyer 200.000f  conditions : 02 mois caution  02 mois loyer avance 01 mois honoraires d'agence
Location appartement 4 pièces - Cité Adoha Atecoubé,220 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,,2024-08-26 10:15:11,LONICE GROUP IMMOBILIER,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-adoha-atecoube-4274738,"Nous mettons en location un superbe appartement de 4 pièces , très propre et prêt à habiter , bon standing , parking intérieur , cadre bitumé , accessible à la cité adoha atecoubé ...."
Location appartement 4 pièces -  Addoha Locodjro,180 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",,Appartements,4,2,2024-08-26 10:15:20,YADI YANNICK,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-addoha-locodjro-4019040,En location loyer : 180.000  addoha locodjro (attecoube - yopougon) 400 metres de la gare lagunaire appartement 04 pièces caractéristiques  - un (01) séjour - trois (03) chambres dont la principale est autonome - deux (02) salles d'eau - une (01) cuisine l'immeuble dispose d'un ascenseur et plusieurs places de parking. n.b : facile de joindre les communes du plateau et de cocody grâce aux sociétés de transport lagunaires à quelques mètres de l'appartement.
Location appartement 2 pièces - Attécoubé,18 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",40 m2,Appartements,2,1,2024-08-26 10:15:32,jean Achingbe,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-attecoube-3912715,"Appartement meublee chambre salon  situe a la city addoha logoona, non loin de la marine nationale d'abobo doume. prix 18 000 f/jour long sejour 16 000f/j"
Location appartement - Addoha,190 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",90 m2 m2,Appartements,4,2,2024-08-26 10:15:41,AMBROISE KOUASSI,https://ci.coinafrique.com/annonce/appartements/location-appartement-addoha-3682227,Appartements Addoha lagoona city  Attecoube locodjro  Avec ascenseur  Balcon Salle d'eau.
Location Appartement 4 pièces - Attecoubé Lokodjoro,150 000 CFA,"Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,4,2,2024-08-26 10:15:53,BALLAL IMMOBILIER,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-attecoube-lokodjoro-3526277,"L'agence gozranda immobilière met en votre disposition 4 pièces au 4ème étage avec assenceur à la cité marocaine, non loin de adoha la 4 pièces dispose une grande cuisine, un salon, une douche visiteurs et une douche principale et balcom, garage de plusieurs voitures et jardin pour les enfants 5 mois seulement 2 mois de caution, 2 mois d'avance et 1 mois agence, visite sur rendez-vous et le client paiye le transport"
