title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 3 et 4 pièces avec ascenseur  à  la Riverra  Faya secteur Jules Verne,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,180 m2,,2024-08-26 11:39:26,Jean Marc Nessemon,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-et-4-pieces-avec-ascenseur-a-la-riverra-faya-secteur-jules-verne-4891648,"Prêt habiter,des plusieurs appartement neuf de type 3 pièces et 4 pièces en location avec ascenseur, les chambres autonomes,un wc visiteurs, cuisine moderne avec Baunderie chauffe-eau,  disponible du 1 er étage au 5eme étage,un parking interne, facile d'accès et bitumée. sécurité/24.  #Lieu: a la Riverra  Faya secteur Jules Verne. #Loyer 3 pièces: 350.000 F cfa/5 mois. #Loyer 4 pièces : 450.000 F cfa/5 mois   Réf ib"
Location appartement 3 pièces - Cocody Angre 9eme Tranche,400 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",110 m2,Appartements,3,3,2024-08-26 11:39:37,Kouame Samuel,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-angre-9eme-tranche-4909186,Appartement 3 pièces bon standing situer à angre 9 eme tranche non loin du rond point cnps  accès facile  parking interne  grande cuisine  balcon d’aération  buanderie  chambre autonome  loyer 400.000
Location appartement 4 pièces - Cocody Riviera Mbadon,1 700 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",130 m2,Appartements,4,4,2024-08-26 11:39:46,Kouame Samuel,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cocody-riviera-mbadon-4904287,"Immeuble haut standing de 4 étages avec 3 appartements de 4 pièces et une 3 pièces  au penthouse   toutes les chambres autonomes, toilette visiteurs  situé à m'badon face à lambassade de chine .                                 commodités : piscine  ascenseur  parking privé interne.   cuisine équipée  4 pièces:1700.000  toutes charges comprises. penthouse 3pièces : 1.300. 000 ."
Location studio - Cocody Riviera Faya Ephrata,95 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,1,1,2024-08-26 11:39:57,Fabethy TRILLIONS,https://ci.coinafrique.com/annonce/appartements/location-studio-cocody-riviera-faya-ephrata-4900936,"Commune de cocody, riviera faya ephrata ( zone pharmacie keliam) très chic petit studio américain au 2em étage avec :  chambre, cuisine, douche ,wc  lumière du jour, très aéré, très accessible.  loyer : 95 000 ×5 (2-2-1) + photocopie de cni prestation de visite : 5000"
Location appartement 3 pièces - Cocody Riviera Palmerais,700 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",125 m2,Appartements,3,3,2024-08-26 11:40:08,Kouame Samuel,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-riviera-palmerais-4909033,"Sis: riviera palmeraie, proche d'abidjan mall.  chic_appart 03 pièces.  - 01 salon et une salle à manger. - 02 chambres autonomes. - 01 toilette visiteur.  - 01 cuisine moderne.  - 01 buanderie. - 01 balcon. - 01 guérite.  - 01 ascenseur.  - 01 parking. - facile d’accès, bitumé et sécurisé 24/24 -aéré  -chauffe eau  un chic appart sécurisé, à proximité des supermarchés et pharmacies. loyer : 700.000 fcfa."
Location appartement 3 pièces - Bingerville,200 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,3,3,2024-08-26 11:40:18,Jean Marc Nessemon,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-bingerville-4900777,"En location à bingerville dans le quartier non loin du tribunal de première instance de bingerville pour habitation un très grand appartement de type 3 pièces bon standing du premier au troisième étage avec trois salles d'eau et cuisine moderne, parking interne et buanderie.  loyer: 200.000× 5 mois .   visite 5000f  réf zzz"
Location appartement 3pièces - Zone Riviera 3,500 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",3 m2 m2,Appartements,3,3,2024-08-26 11:40:31,KAMF IMMOBILIER,https://ci.coinafrique.com/annonce/appartements/location-appartement-3pieces-zone-riviera-3-4902187,Location   #zone:riviera 3 triangle non loin du lycée français   -01 séjour /salle à manger  -01 cuisine  -02 chambres autonomes   le tout dans une un immeuble comprenant :  -01 parking interne  -01 groupe électrogène  -01 service de sécurité 24h/24  loyer:500 mille
Location appartement 3pièces - Cocody Feh Kesse,230 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,3,3,2024-08-26 11:40:41,Yass Immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-3pieces-cocody-feh-kesse-4906670,Vous cherchez une maison à louer à bingerville feh-késsé ?]  nous avons de grands appartements de 03 pièces de standing; nouvelle construction dans un bel immeuble du 1er au 3èm étage.  descriptif :  - un (01) grand salon avec balcon - deux (02) chambres autonomes  - une (01) toilette visiteurs  - une (01) grande cuisine avec deux accès  - une (01) buanderie   les points forts de ce bien :  - eclairé et aéré  - service d'entretien  - parking intérieur  - accessible
Location appartement 3 pièces - Riviera 4,300 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",160 m2 m2,Appartements,3,3,2024-08-26 11:40:53,Seydou Tessougue,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-riviera-4-4901708,Joli appartement de 3 pièces a louer a la riviera 4 m badon au 2e étage avec un parking interne. loyer : 300 mille.
Location appartement haut standing 3 pièces - Riviera 4,850 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",170 m2 m2,Appartements,3,3,2024-08-26 11:41:02,Seydou Tessougue,https://ci.coinafrique.com/annonce/appartements/location-appartement-haut-standing-3-pieces-riviera-4-4903403,Jolie appartement de 3 pièces de haut standing à louer à la riviera 4 au 1er étage avec ascenseur et parking interne. loyer 850 mille non négociable.
