title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location villa  à Songon,180 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",500 m2 m2,Appartements,3,2,2024-08-26 09:32:13,Fabrice Djé Bi Zaouli,https://ci.coinafrique.com/annonce/appartements/location-villa-a-songon-4844737,À louer   À songon Appartements de 3 pièces 2 dwc+ 2 balcons Chauffe eau  haut standing   Conditions : 180 mille x 5 +80 mille Caution 2 mois Avance 2 mois Agence 1 mois  (2 pièces 130.000 Vidéo disponible   Visite 5000 FCFA
Location appartement 4 pièces avec piscine - Riviera 3,1 700 000 CFA,"Songon, Côte d'Ivoire",,Appartements,4,,2024-08-26 09:32:24,Ben,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-avec-piscine-riviera-3-4791085,"Riviera 3 mise en location d'un bel appartement de standing (4 pièces) dans une calme dans le proche voisinage des lycées américains et français à la riviera 3 à cocody. 3 chambres autonomes et spacieuses, un salon lumineux, aéré et spacieux, cuisine impeccable, toilettes visiteurs, climatisation centralisée, piscine, salle de sport, wifi, parking interne... ps : visite possible uniquement sur rdv ferme ⚠️ avec les frais"
Location appartement 4 pièces avec piscine - Riviera 3,1 700 000 CFA,"Songon, Côte d'Ivoire",,Appartements,4,,2024-08-26 09:32:32,Ben,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-avec-piscine-riviera-3-4791081,"Riviera 3 mise en location d'un bel appartement de standing (4 pièces) dans une calme dans le proche voisinage des lycées américains et français à la riviera 3 à cocody. 3 chambres autonomes et spacieuses, un salon lumineux, aéré et spacieux, cuisine impeccable, toilettes visiteurs, climatisation centralisée, piscine, salle de sport, wifi, parking interne... ps : visite possible uniquement sur rdv ferme avec les frais"
Location appartement 3 pièces - Yopougon,200 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",200 m2,Appartements,3,3,2024-08-26 09:32:43,Diomande Diomande,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-yopougon-4812258,"Nous disposons de plusieurs appartement haut standing de la commune de songon . l'immeuble de haut standing est situé à 10 minutes de yopougon, via la côtière(autoroute) récemment élargie précisément à songon adiapote.  l'immeuble neuf, de standing proposant des appartements avec des finitions irréprochables vous offre:  02 chambres autonomes, un séjour composées de salon et salle à manger, une terrasse, cuisine et toilette visiteur. ainsi que un service de gardiennage h24, conciergerie, parking interne et chauffe eau.  il est disponible à usage d'habitation ou bureaux"
Location appartement 3 pièces - Songon Kassamblé,300 000 CFA,"Songon, Côte d'Ivoire",200 m2,Appartements,3,4,2024-08-26 09:32:52,COGELIM SARL,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-songon-kassamble-4638624,"Nous mettons en location plusieurs appartements de haut standing situé à sonon kassemble dans une zone calme paisible, sécurisée et très accessible.... nos appartements sont doté d'une double sécurité, toutes les pièces sont dotées d'e balcon, de placards et de salons en baie vitrés. commodités:  - un salon en baie vitré avec une très belle vue sur la cité - deux(02) chambres autonomes avec split et placard, - une(01) cuisine américaine marbrée, - un grand balcon en baie vitré, - un chauffe eau, - un interphone, - un grand parking,  - des cameras de vidéos surveillance, - une guerite pour les vigiles; nb: l'immeuble est neuf"
Location appartement 3 pièces - Songon,150 000 CFA,"Songon, Côte d'Ivoire",100 m2,Appartements,3,3,2024-08-26 09:33:04,Constant Sié,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-songon-4626751,"Songon carrefour hévéa - de grands et beaux appartements de 03 avec 03 douche-wc  situés à quelques 2 mn de la voie principale non loin du carrefour hévéa, et logés au sein d'un bel immeuble, nos appartements de 03 pièces disposent chacun de :  01 spacieux salon éclairé  02 chambres autonomes avec chacune sa salle d'eau  01 cuisine  01 toilette visiteur  01 balcon  loyer : 150.000 fcfa"
Location appartement 3 pièces - Songon,130 000 CFA,"Songon, Côte d'Ivoire",120 m2,Appartements,3,3,2024-08-26 09:33:12,Claude Martial Dadie,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-songon-4488700,Nous mettons en location une très grande 3pieces au 2e étage vide et prêt à habiter conditions 5mois plus 50mil à songon carrefour domak très bien situé dans un cadre agréable et sécurisé non loin de l'autoroute visite possible à 5000frs
Location appartement 3 pièces - Songon,200 000 CFA,"Songon, Côte d'Ivoire",,Appartements,3,3,2024-08-26 09:33:25,SANDRA K,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-songon-4368948,Immeuble neuf de standing proposant des appartements avec des finitions irréprochables composés de :  02 chambres autonomes 01 séjour 01 terrasse 01 cuisine 01 toilette visiteurs  commodités : gardiennage 24h /24  conciergerie  parking interne  chauffe-eau usage de bureaux ou d’habitation
Location appartements 3 pièces - Songon,180 000 CFA,"Songon, Côte d'Ivoire",200 m2,Appartements,3,3,2024-08-26 09:33:34,SOMOBAT IMMOBILIER ET SERVICES,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-songon-4247698,"06 appartements a louer a songon, institut pasteur. du 1er au 3ème étage : 06 appartements de 03 pièces, loyer 180.000 frs •	salon •	balcons du salon  •	2 chambres autonomes (ch parentale & ch enfants) •	cuisine & buanderie •	wc visiteurs autres commodités :  •	sécurité : un agent de sécurité 24h/24. •	femme de ménage pour les espaces en commun nb : tous les appartements sont dotés de climatiseurs."
Location appartement 2 pièces - Songon Bimbresso,80 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",100 m2 m2,Appartements,2,2,2024-08-26 09:33:46,ephra dev,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-songon-bimbresso-4252562,Maison a louer 2 pièce avec 2 douche cuisine balcon situés à songon bimbresso nouveau quartier caution : 80 x 5  possibilité de voir la vidéo par whatsapp nb: nous avons plusieurs autres maison
Location appartement 3 pièces - Songon Bimbresso,130 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",200 m2 m2,Appartements,3,3,2024-08-26 09:33:55,ephra dev,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-songon-bimbresso-4252556,Maison à louer 3 piece 3 douche cuisine balcon situés à songon bimbresso nouveau quartier caution : 130 x 5  nous avons plusieurs autres maison en location possibilité de voir la vidéo de la maison
Location appartement 4 pièces - Songon Diapote,180 000 CFA,"Yopougon, Abidjan, Côte d'Ivoire",300 m2 m2,Appartements,4,3,2024-08-26 09:34:08,Fabrice Djé Bi,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-songon-diapote-4175948,"A louer à songon diapoto juste après la nouvelle mairie de songon en bordure de la grande voie une belle 4 pieces loyer 180mil au 1er étage avec :3dwc,2 balcons, très grand salon, grande cuisine, staffée, tu vois tu prends. conditions :180x5mois plus 30mil frais de dossier visite:5000"
