title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 3 pièces -  Abidjan TcheichVille Zone Solibra,500 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",3 m2 m2,Appartements,3,3,2024-08-26 10:49:43,KAMF IMMOBILIER,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-abidjan-tcheichville-zone-solibra-4802842,Location  abidjan tcheichville. zone solibra acces super un chouette appartement de bon standing. 3 pieces: 1 grand sejour. 2 grandes chambres. 2 salles d'eaux. de grands placards. une cuisine. un parking interne. un ascenseur. securité h24. pieces spacieuses. toutes commodités. prix du loyer: 550.000fcfa
Location appartement 3 pièces - Treichville,550 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",110 m2,Appartements,3,2,2024-08-26 10:49:54,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4802275,En location un  appartement de standing 3pièces à louer a treichville_solibra. composé de: -02 chambres dont la principale autonomes avec placard -01 séjour spacieux -01 cuisine -01 toilette visiteur -parking  -résidence sécurisée -acces bitumé -chauffe eau/splits installés -ascenseur disponible ☑️loyer:550k visite possible sur rendez vous```
Location appartements 6 pièces - Treichville,1 000 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",157 m2,Appartements,6,2,2024-08-26 10:50:02,Prince Ulrich,https://ci.coinafrique.com/annonce/appartements/location-appartements-6-pieces-treichville-4821918,"Appartement haut standing, pour location, bureau ou autre"
Location appartement 3 pieces - Treichville,250 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",60 m2 m2,Appartements,3,3,2024-08-26 10:50:12,Paul N'djomon,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4771848,A louer appartement 3 pieces a treichville : - 3 salles d'eau  - placard  - balcon - parking sécurisé
Location  appartement 2 piéces  - Treichville,150 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",40 m2 m2,Appartements,2,2,2024-08-26 10:50:21,Paul N'djomon,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-treichville-4771855,A louer appartement 2 pieces a treichville : - 2 salles d'eau  - placard  - balcon - parking sécurisé
Location appartement 3 pièces - Treichville,600 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",3 m2 m2,Appartements,3,3,2024-08-26 10:50:31,KAMF IMMOBILIER,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4571675,Location appartement 03 pièces (bureau comme habitation) zone : treichville composition : -02 chambres avec une douche centrée  – 01 séjour / salle à manger  – 01 balcon  – 01 cuisine    – 01 toilette visiteur  commodités : - parking  - gardiennage 24 h /7j loyer : 600.000
Location appartement -Treichville,600 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",,Appartements,3,3,2024-08-26 10:50:39,karidia traore,https://ci.coinafrique.com/annonce/appartements/location-appartement-treichville-4528358,Appartement à louer à treichville à côté du marché samsung bureau ou habitation loyer 600.000
Location appartement 4 pièces - Treichville,250 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",125 m2 m2,Appartements,4,2,2024-08-26 10:50:51,DIBY Christian,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-treichville-4476767,En location une 4 pièce logée au 2ème étage sise à treichville dans la cité derrière la clinique la rosette.   loyer: 250.000  conditions 5 mois frais de dossiers 50 mille   nb: attestation de travail exigée.
Location studio - Treichville,250 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",70 m2 m2,Appartements,2,2,2024-08-26 10:51:01,Tianlé tianlé,https://ci.coinafrique.com/annonce/appartements/location-studio-treichville-4409978,Appartement 2 pièces* à louer à *treichville* non loin du palais de la culture au 5ème étage d'un immeuble avec ascenseur. . 2 douches wc loyer *250mille* bouclag'immo 0505183000
Location studio  - Palmeraie Agitel,150 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",1 m2 m2,Appartements,1,1,2024-08-26 10:51:11,Tcci-immo,https://ci.coinafrique.com/annonce/appartements/location-studio-palmeraie-agitel-4372051,"Studio 150 mille +10000 fcfa charge palmeraie agitel formation 1er et 2iem, split, chauffe-eau, balcon,wc douche moderne ,disponible pour la fin septembre"
Location appartement 2 pièces - Treichville,150 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",20 m2 m2,Appartements,2,2,2024-08-26 10:51:21,Modeste Kalou,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-treichville-4388949,A louer appartement 2 pieces a treichville ( non loin du palais des sports)  parking interne  grand balcon - cuisine  - placards  - 2 salles de bains
Location appartement 2 pièces - Treichville,150 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",40 m2 m2,Appartements,2,1,2024-08-26 10:51:30,Ali Meite,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-treichville-4353751,A louer appartement 2 pieces a treichville :  - 1 salle d'eau  - placards - cuisine  - balcon  - parking sécurisé
Location  appartement 3 pièces -  Treichville,250 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",70 m2 m2,Appartements,3,2,2024-08-26 10:51:41,Ali Meite,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4353738,A louer appartement 3 pieces a treichville :  - 2 salles d'eau  - placards - cuisine  - balcon  - parking sécurisé
Location appartement - Treichville,500 000 CFA,"Marcory, Abidjan, Côte d'Ivoire",112 m2 m2,Appartements,3,3,2024-08-26 10:51:49,henri nzo,https://ci.coinafrique.com/annonce/appartements/location-appartement-treichville-4336734,Treichville appatt de standing avec toutes les commodités acenceur sécurité garantie un chauffe eau dans lappatt accès facile voie principale un très bon environnement placards dans les chambres nb frais de visite 10000 frcs
Location appartement 3 pièces - Treichville,200 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",275 m2 m2,Appartements,3,2,2024-08-26 10:52:00,Jeannot Kouadio,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4163706,Appartement de 3 pièces à louer à treichville non loin du siège de coris banque. 2 ch salon cuisine balcon au 2ème étage nouvelle construction en finition ( vidéos disponibles 2p disponible aussi ).
Location appartement 5 pièces - Treichville,250 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",60 m2 m2,Appartements,5,3,2024-08-26 10:52:08,Amidou Kone,https://ci.coinafrique.com/annonce/appartements/location-appartement-5-pieces-treichville-4124831,A louer appartement 5 pieces a treichville a louer appartement 5 pieces (ré de chaussée) a treichville  - 3 salles d'eau  - placard  - cuisine  - petite cour avant
Location appartement 3 pièces  - Treichville,200 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",220 m2 m2,Appartements,3,3,2024-08-26 10:52:18,Parfait Bi boh,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4154933,Superbe appartement de 3p a louer à treichville non loin du restaurant la teranga au 2 ème étage.  2 ch salon cuisine 3 dch wc baies vitrées balcon possibilité de poser des placards .  travaux en cour de finition.
Location appartement 3 pièces  -  Treichville,220 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",280 m2 m2,Appartements,3,2,2024-08-26 10:52:27,Ange Kadjo,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4145176,Appartement de 3 pièces à louer à treichville nouvelle construction propre. 2 ch salon cuisine placards 2 dch wc balcon au 1er.
Location appartement 3 pièces  -  Treichville,250 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",60 m2 m2,Appartements,3,2,2024-08-26 10:52:38,Etienne Konan,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4103273,A louer appartement 3 pieces a treichville  : - 2 salles d'eau  - placard  - cuisine  - balcon
Location appartement 2 pièces  -  Treichville,150 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",20 m2 m2,Appartements,2,2,2024-08-26 10:52:47,Etienne Konan,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-treichville-4103269,A louer appartement 2 pieces a treichville : - 2 salles d'eau  - cuisine  - placard  - balcon
Location appartements 3 pièces - Treichville,500 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",85 m2,Appartements,3,2,2024-08-26 10:52:57,Marius Gbe,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-treichville-4057831,"Treichville 4 pièce 500 mille ????️ 2 jolie appartement de 4 pièce sont disponibles actuellement à louer dans un très bel immeuble a treichville... loyer : 600 mille et 500mille ????les 2 appartement sont identiques la seul différence est que celui de 600mille possède 3 chambre autonome plus toilette visiteurs⭐ ????celui de 500 mille la chambre principale est autonome les 2 autre chambre ont une douche centré , il y a aussi une toilette visiteurs⭐ nb: les 2 appartement sont magnifiques"
Location appartement 2 pièces - Treichville,250 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",100 m2,Appartements,2,1,2024-08-26 10:53:05,Luc Kablan,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-treichville-4096795,"A louer en urgence!_appartement (bureau 2 pièces a 250.000 fcfa)_treichville/abidjan  contacts+whsp:  situation : treichville/abidjan prix du loyer: 250.000 fcfa (deux cent cinquante mille francs cfa)  conditions : 250.000 x 5 mois caracteristiques: bureau au 3eme étage composé de: _01 grand salon pour le hall _01 pièce principale avec placards de rangement _01 salle d'eau _une vue sur le boulevard vge _un ascenseur fonctionnel _01 parking  _01 service de sécurité bureau accessible, sécurisé & agréable"
Location appartement 3 pièces - Treicheville,250 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",150 m2 m2,Appartements,3,3,2024-08-26 10:53:15,Magnificat Immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treicheville-4056647,Appartement de 3 pièces dmcomposée de  grand salon salle à manger  cuisine moderne  balcon  2 chambres autaunomes    toillette visiteur
Location appartement 3 pièces,250 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",200 m2 m2,Appartements,3,3,2024-08-26 10:53:23,Magnificat Immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-4052794,Un salon avec balcon   une salle à manger  cuisine  toillette visiteur   2 chambres autonomes  avec balcon au 1er étage
Location appartement 2 pièces - Treichville,120 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",20 m2 m2,Appartements,2,2,2024-08-26 10:53:34,Rasmane Sakande,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-treichville-4056629,A louer appartement 2 pièces a treichville : - 2 salles d'eau  - balcon  - placard  - cuisine
Location appartement 3 pièces - Treichville,250 000 CFA,"Treichville, Abidjan, Côte d'Ivoire",60 m2 m2,Appartements,3,3,2024-08-26 10:53:42,Eric Tape,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-treichville-4016136,A louer appartement 3 pieces treichville zone 2 : - 3 salles d'eau  - placard - cuisine  - balcon  - parking sécurisé
