title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
"Location d’un appartement de standing 3 pièces aux 2 Plateaux, 8ème Tranche – Cocody",,,,appartement,,,2024-08-26 13:42:05,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/location-dun-appartement-de-standing-3-pieces-aux-2-plateaux-8eme-tranche-cocody/,
NEUVE VILLA BASSE 4 PIECES ABIDJAN COCODY FAYA,,,,villa,,,2024-08-26 13:42:11,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/neuve-villa-basse-4-pieces-abidjan-cocody-faya/,
Riviera Bonoumin,,,,,,,2024-08-26 13:42:16,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/riviera-bonoumin/,
Magnifique Villa en location meublée – Deux plateaux Vallons – 600 000FCFA par jour,,,,villa,,,2024-08-26 13:42:21,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/magnifique-villa-en-location-meublee-deux-plateaux-vallons-600-000fcfa-par-jour/,
villa duplex a louer Cocody Riviera 2,,,,villa,,,2024-08-26 13:42:28,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/villa-duplex-a-louer-cocody-riviera-2/,
Superbe appartement 04 pieces meuble à louer à Marcory Zone 4,,,,appartement,,,2024-08-26 13:42:33,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/superbe-appartement-04-pieces-meuble-a-louer-a-marcory-zone-4/,
Residence Harmonia pour location d’appartement tout équipé,,,,appartement,,,2024-08-26 13:42:38,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/residence-harmonia-pour-location-dappartement-tout-equipe/,
Appartement à louer à la rivera abatta carrefour bceao,,,,appartement,,,2024-08-26 13:42:42,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/appartement-a-louer-a-la-rivera-abatta-carrefour-bceao/,
location de villa à Sogephia,,,,villa,,,2024-08-26 13:42:47,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/location-de-villa/,
STUDIO A LOUER A GRAND-BASSAM,,,,studio,,,2024-08-26 13:42:52,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/studio-a-louer-a-grand-bassam/,
