title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Séjour – Résidence meublée de 2pieces à la Riviera m’badon ambassade de Chine,30.000 FCFA par jour,,1.00 m2 m2,,1,1,2024-07-18 12:29:37,,https://batirici-immobilier.com/properties/sejour-residence-meublee-de-2pieces-a-la-riviera-mbadon-ambassade-de-chine/,"Résidence meublée de 2pieces à la Riviera m’badon ambassade de Chine, à proximité de l’ambassade composé comme suit Une chambre climatisée, Un grand salon avec un ventilateur silencieux, Une salle à manger, Une télévision 50 pouces connecté, youtube, Netflix, WiFi illimité fibre optique Cuisine entièrement équipée Chauf eau Prix journalier 30.000fr/jour Longs séjours à négocier Contact :0779085470"
Un studio à louer à la rivera abatta carrefour BCAO.,110.000 FCFA par mois,"Riviera  abatta carrefour bcao., Abidjan, Rivera abatta",15.00 m2 m2,Appartement,1,1,2024-07-18 12:29:52,Developpe Toi,https://batirici-immobilier.com/properties/un-studio-a-louer-a-la-rivera-abatta-carrefour-bcao/,Le quartier est bitumé et accessible.
Un appartement de 3PCS à la rivera abatta carrefour bceao.,240.000 FCFA par mois,"Riviera, Abidjan, Rivera abatta",15.00 m2 m2,Appartement,2,2,2024-07-18 12:30:08,Developpe Toi,https://batirici-immobilier.com/properties/un-appartement-de-3pcs-a-la-rivera-abatta-carrefour-bceao/,Un appartement de 3 PCS situé dans un immeuble au deuxième étage.
"Magnifique villa , Riviera 3, CAP  NORD– 150 000 FCFA par jour ou 2 000 000 FCFA par mois (sur un an).",150.000 FCFA par jour,"Riviera 3 Cocody, Abidjan, Rivera 3, Cocody",250.00 m2 m2,Maison,3,3.5,2024-07-18 12:30:25,WCE,https://batirici-immobilier.com/properties/magnifique-villa-riviera-3-cap-nord-150-000-fcfa-par-jour-ou-2-000-000-fcfa-par-mois-sur-un-an/,"La villa se trouve dans le paisible quartier de la Riviera 3 non loin des Ẻcoles et Lycées Internationaux, Blaise Pascal, Jacques Prévert, Jean Mermoz et ICSA et à proximité de nombreux commerces, banques et restaurants. Avec son jardin arboré et fleuri, la villa vous donnera l’envie de passer plusieurs nuits. Découvrez notamment, un grand séjour équipé de Smart-tv, une cuisine moderne entièrement équipée machine à laver et sèche-linge y compris, de même que dans les principales pièces, une vaste salle à manger, un petit salon ou espaces détente, etc. Cette belle demeure, composée de 3 chambres et de 3.5 salles de bain, est entièrement couverte par le wifi. Pour votre SECURITE, la VILLA est située dans une cité calme et très paisible avec vigiles 7Jrs sur 7 et 24H sur 24. Déposez vos valises chez vous, et profitez sereinement d’ABIDJAN !!! LOCATION DE LA VILLA ENTIÈRE * De 1 à 4 jours : 150 000 FCFA par jour * De 5 à 20 jours : 130 000 FCFA par jour * De 21 à 29 jours :115 000 FCFA par jour * A partir de 30 jours : 105 000 FCFA par jour LOCATION DE LA VILLA ENTIÈRE LONG TERME * 2 000 000 FCFA par mois Contact : (225) 0703111181 (également numéro WhatsApp) : (001) 248 953 6919 (WhatsApp seulement) Email : pierre.wassom@hotmail.com"
SEJOUR – RESIDENCE MEUBLEE,25.000 FCFA par jour,"MARCORY REMBLAIS DERRIERE LE YOTA, Abidjan, YOTA",50.00 m2 m2,Appartement,1,1,2024-07-18 12:30:41,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/sejour-residence-meublee/,Résidence Saphir Marcory REMBLAIS derrière le YOTA avec wifi et un abonnement NETFLIX. PRIX: 25.000 par jour et Négociable pour long séjour. IK IMMOBILIER COTE D’IVOIRE votre Confort notre priorité. : 2734770573 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com
SEJOUR – RESIDENCE MEUBLEE MARCORY,25.000 FCFA par jour,"MARCORY  HIBISCUS, Abidjan, HIBISCUS",9.00 m2 m2,Appartement,1,1,2024-07-18 12:30:55,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/residence-meuble-3/,"Résidence Saphir Marcory dans la belle cité de Hibiscus une 2 pièces dans une cité calme, propre et sécurisée avec toutes les commodités. PRIX: 25.000 par jour et Négociable pour long séjour. Nos contacts: : 2734770473 2734770492 : 0143228281 (whatsapp) Email: ikimmobilier2017@gmail.com Site internet: www.ikimmob.com #residencemeublee #residencemarcory #immobilier"
SEJOUR – RESIDENCE MEUBLEE MARCORY,25.000 FCFA par jour,"MARCORY REMBLAIS AU YOTA, Abidjan, AU YOTA",9.00 m2 m2,Appartement,1,1,2024-07-18 12:31:10,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/sejour-residence-meublee-marcory-2/,Résidence Saphir Marcory REMBLAIS derrière le YOTA avec wifi et un abonnement NETFLIX. PRIX: 25.000 par jour et Négociable pour long séjour. IK IMMOBILIER COTE D’IVOIRE votre Confort notre priorité. : 2734770573 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com
VILLA 6 PIECES,1.500.000 FCFA,"COCODY RIVIERA 4, Abidjan, CITE CIAD PRIMO",300.00 m2 m2,Appartement,5,3,2024-07-18 12:31:26,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/villa-6-pieces-2/,"Cocody Riviera 4. Cité Ciad Primo. Zone Ecole Libannaise. Une belle villa duplex d’un excellent standing. 6 Pieces: 1 Sejour/salle a manger 5 chambres autonomes dont 3 avec dressing. Toilette visiteurs. 2 cuisines,une africaine et une europeene. Splits & chauffe eaux. Belle terrasse sur la dalle. Une buanderie. Une piscine commune. Securité H24. Pieces spacieuses. Toutes Commodités. Prix du Loyer: 1.500.000fcfa Conditions: .2.2.1 Frais de visite: 5.000fc El2044 : 2734770473 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com"
DUPLEX DE 7 PIECES,1.500.000 FCFA par mois,"PORT BOUET, Abidjan, ANANI",350.00 m2 m2,Maison,5,2,2024-07-18 12:31:42,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/duplex-de-7-pieces/,"MAISON VUE SUR LA MER A LOUER AVEC LES MEUBLES VILLA DUPLEX 7 PIÈCES • 2 chambres (lits King) • 2 chambres (lits Queen) • Vu sur la mer • 1 salon • 2 dépendances • Garage 2 voitures • Climatisation • Eau chaude • Jardin • Terrasse EQUIPEMENTS • Machine à café • Lave-linge • Réfrigérateur • Four micro onde • Ustensiles de cuisine • Cuisine extérieur africaine TECHNOLOGIE & SECURITE • Fibre Internet • Gardien sur place EMPLACEMENT Ancienne route de Bassam, Anani 15 mins de l’aeroport FHB Loyer: 1,500,000 FCFA négociable Conditions: 2 mois de caution 2 mois d’avance et 1 mois frais d’agence mpak809 : 2734770473 2734770492 : 0779642534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com"
VILLA 7 PIECES,5.000.000 FCFA par mois,"COCODY  RIVIERA GOLF, Abidjan, Riviera golf",350.00 m2 m2,Maison,6,3,2024-07-18 12:31:57,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/villa-7-pieces/,"Riviera Golf 4 Duplex de standing (7 pièces) super spacieux en location à COCODY Riviera Golf 4 dans un secteur hautement sécurisé et très résidentiel. Jardin, Piscine, Grand garage, Cuisine spacieuse et équipée, Chambres autonomes, Séjour lumineux et spacieux… Loyer : 5.000.000 F CFA jo1818 : 2734770473 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com"
