title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
"Magnifique villa , Riviera 3, CAP  NORD– 150 000 FCFA par jour ou 2 500 000 FCFA par mois (sur un an).",150.000 FCFA par jour,"Riviera 3 Cocody, Abidjan, Rivera 3, Cocody",250.00 m2,Maison,3,3.5,2024-06-07 10:27:27,WCE,https://batirici-immobilier.com/properties/magnifique-villa-riviera-3-cap-nord-150-000-fcfa-par-jour-ou-2-500-000-fcfa-par-mois-sur-un-an/,"La villa se trouve dans le paisible quartier de la Riviera 3 non loin des Ẻcoles et Lycées Internationaux, Blaise Pascal, Jacques Prévert, Jean Mermoz et ICSA et à proximité de nombreux commerces, banques et restaurants. Avec son jardin arboré et fleuri, la villa vous donnera l’envie de passer plusieurs nuits. Découvrez notamment, un grand séjour équipé de Smart-tv, une cuisine moderne entièrement équipée machine à laver et sèche-linge y compris, de même que dans les principales pièces, une vaste salle à manger, un petit salon ou espaces détente, etc. Cette belle demeure, composée de 3 chambres et de 3.5 salles de bain, est entièrement couverte par le wifi. Pour votre SECURITE, la VILLA est située dans une cité calme et très paisible avec vigiles 7Jrs sur 7 et 24H sur 24. Déposez vos valises chez vous, et profitez sereinement d’ABIDJAN !!! LOCATION DE LA VILLA ENTIÈRE * De 1 à 4 jours : 150 000 FCFA par jour * De 5 à 20 jours : 130 000 FCFA par jour * De 21 à 29 jours :115 000 FCFA par jour * A partir de 30 jours : 105 000 FCFA par jour LOCATION DE LA VILLA ENTIÈRE LONG TERME * 2 500 000 FCFA par mois Contact : (225) 0703111181 (également numéro WhatsApp) : (001) 248 953 6919 (WhatsApp seulement) Email : pierre.wassom@hotmail.com"
SEJOUR – RESIDENCE MEUBLEE,25.000 FCFA par jour,"MARCORY REMBLAIS DERRIERE LE YOTA, Abidjan, YOTA",50.00 m2,Appartement,1,1,2024-06-07 10:27:32,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/sejour-residence-meublee/,Résidence Saphir Marcory REMBLAIS derrière le YOTA avec wifi et un abonnement NETFLIX. PRIX: 25.000 par jour et Négociable pour long séjour. IK IMMOBILIER COTE D’IVOIRE votre Confort notre priorité. : 2734770573 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com
SEJOUR – RESIDENCE MEUBLEE MARCORY,25.000 FCFA par jour,"MARCORY  HIBISCUS, Abidjan, HIBISCUS",9.00 m2,Appartement,1,1,2024-06-07 10:27:38,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/residence-meuble-3/,"Résidence Saphir Marcory dans la belle cité de Hibiscus une 2 pièces dans une cité calme, propre et sécurisée avec toutes les commodités. PRIX: 25.000 par jour et Négociable pour long séjour. Nos contacts: : 2734770473 2734770492 : 0143228281 (whatsapp) Email: ikimmobilier2017@gmail.com Site internet: www.ikimmob.com #residencemeublee #residencemarcory #immobilier"
SEJOUR – RESIDENCE MEUBLEE MARCORY,25.000 FCFA par jour,"MARCORY REMBLAIS AU YOTA, Abidjan, AU YOTA",9.00 m2,Appartement,1,1,2024-06-07 10:27:42,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/sejour-residence-meublee-marcory-2/,Résidence Saphir Marcory REMBLAIS derrière le YOTA avec wifi et un abonnement NETFLIX. PRIX: 25.000 par jour et Négociable pour long séjour. IK IMMOBILIER COTE D’IVOIRE votre Confort notre priorité. : 2734770573 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com
VILLA 6 PIECES,1.500.000 FCFA,"COCODY RIVIERA 4, Abidjan, CITE CIAD PRIMO",300.00 m2,Appartement,5,3,2024-06-07 10:27:46,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/villa-6-pieces-2/,"Cocody Riviera 4. Cité Ciad Primo. Zone Ecole Libannaise. Une belle villa duplex d’un excellent standing. 6 Pieces: 1 Sejour/salle a manger 5 chambres autonomes dont 3 avec dressing. Toilette visiteurs. 2 cuisines,une africaine et une europeene. Splits & chauffe eaux. Belle terrasse sur la dalle. Une buanderie. Une piscine commune. Securité H24. Pieces spacieuses. Toutes Commodités. Prix du Loyer: 1.500.000fcfa Conditions: .2.2.1 Frais de visite: 5.000fc El2044 : 2734770473 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com"
DUPLEX DE 7 PIECES,1.500.000 FCFA par mois,"PORT BOUET, Abidjan, ANANI",350.00 m2,Maison,5,2,2024-06-07 10:27:50,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/duplex-de-7-pieces/,"MAISON VUE SUR LA MER A LOUER AVEC LES MEUBLES VILLA DUPLEX 7 PIÈCES • 2 chambres (lits King) • 2 chambres (lits Queen) • Vu sur la mer • 1 salon • 2 dépendances • Garage 2 voitures • Climatisation • Eau chaude • Jardin • Terrasse EQUIPEMENTS • Machine à café • Lave-linge • Réfrigérateur • Four micro onde • Ustensiles de cuisine • Cuisine extérieur africaine TECHNOLOGIE & SECURITE • Fibre Internet • Gardien sur place EMPLACEMENT Ancienne route de Bassam, Anani 15 mins de l’aeroport FHB Loyer: 1,500,000 FCFA négociable Conditions: 2 mois de caution 2 mois d’avance et 1 mois frais d’agence mpak809 : 2734770473 2734770492 : 0779642534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com"
VILLA 7 PIECES,5.000.000 FCFA par mois,"COCODY  RIVIERA GOLF, Abidjan, Riviera golf",350.00 m2,Maison,6,3,2024-06-07 10:27:55,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/villa-7-pieces/,"Riviera Golf 4 Duplex de standing (7 pièces) super spacieux en location à COCODY Riviera Golf 4 dans un secteur hautement sécurisé et très résidentiel. Jardin, Piscine, Grand garage, Cuisine spacieuse et équipée, Chambres autonomes, Séjour lumineux et spacieux… Loyer : 5.000.000 F CFA jo1818 : 2734770473 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com"
Un appartement de 3PCS à louer à la rivera abatta carrefour BCAO.,250.000 FCFA,"Riviera  abata carrefour bcao, Abidjan, Carrefour bcao",150.00 m2,Appartement,2,3,2024-06-07 10:27:59,Developpe Toi,https://batirici-immobilier.com/properties/un-appartement-de-3pcs-a-louer-a-la-rivera-abatta-carrefour-bcao/,Un quartier bitumé et accessible.
Un appartement confortable de 2 pcs à louer à angré cnps immeuble cgk.,30.000 FCFA par mois,"Angré, Abidjan, Angré cnps",100.00 m2,Appartement,1,2,2024-06-07 10:28:03,Developpe Toi,https://batirici-immobilier.com/properties/sejour-un-appartement-confortable-de-2-pcs-a-louer-a-angre-cnps-immeuble-cgk/,Une douche visiteur.
Appartement meublé de haut standing,1.500.000 FCFA,"Cocody Angré 8ème tranche dans une cité moderne, Abidjan, Angré 8ème tranche",100.00 m2,Appartement,3,3,2024-06-07 10:28:07,Markoff,https://batirici-immobilier.com/properties/appartement-meuble-de-haut-standing/,[ A LOUER ]
Séjour – Appartement meublé 3 pièces entièrement équipé,70.000 FCFA,"Cocody ATTOBAN  non loin de la pharmacie St Bernard, Abidjan, Attoban vers pharmacie St Bernard",100.00 m2,Appartement,2,2,2024-06-07 10:28:11,Markoff,https://batirici-immobilier.com/properties/sejour-appartement-meuble-3-pieces-entierement-equipe/,[ A LOUER ]
VILLA 5 PIECES RIVIERA,800.000 FCFA,"COCODY RIVIERA 3, Abidjan, CITE SELMER",150.00 m2,Maison,4,2,2024-06-07 10:28:16,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/villa-5-pieces-riviera/,Cocody Riviera 3. Cité Selmer. Une villa duplex de 5 pieces: 1 sejour/salle a manger. 4 chambres. Une Cour Avant et arriere. Une terrasses. Un Garages une place. Pieces spacieuses. Toutes Commodités. Prix du Loyer: 800.000fcfa Conditions: .2.2.1 Frais de visite: 5.000fcfa el2044 : 2734770473 2734770492 : 0779641534 0143228281 watsap email ikimmobilier2017@gmail.com site internet ikimmob.com
SEJOUR – RESIDENCE MEUBLEE RIVIERA BIETRY,50.000 FCFA par jour,"MARCORY BIETRY, Abidjan, BIETRY",150.00 m2,Appartement,1,1,2024-06-07 10:28:19,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/sejour-residence-meublee-riviera-bietry/,Résidence Meublée de 2 pièces située a Bietry avec une piscine commune et toutes les commodités. Prix Journalier: 50.000F Négociable pour long séjour. NB: La résidence est aussi a céder loyer: 550.000F Prix de cession: 6.000.000Fcfa KO 5.500.000Fcfa Nos contacts: : 2734770473 2734770492 : 0143228281 (WHATSHAPP) Email: ikimmobilier2017@gmail.com Site internet: www.ikimmob.com
SEJOUR – RESIDENCE MEUBLEE RIVIERA GOLF,70.000 FCFA par jour,"RIVIERA GOLF, Cocody, Riviera golf",175.00 m2,Appartement,2,2,2024-06-07 10:28:24,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/residence-meuble/,RIVIERA GOLF F3- 9è en résidence meublé parking privé-5 pers -2 chambres climatisées idéal pour moyens et longs séjours. familiale ou prof-ascenseur-terasse sécurisée . wifi haut débit gratuit. centre ville-commerces -proche de ttes commodités 70.000cfa/j-libre reduction long séjour. IK. IMMOBILIER : 2734770473 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com
RESIDENCE MEUBLE,25.000 FCFA par jour,"marcory PHARMACIE EBATHE PETIT MARCHE, Abidjan, MARCORY PETIT MARCHE",92.00 m2,Appartement,1,1,2024-06-07 10:28:29,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/residence-meuble-2/,"RESIDENCE SAPHIR SITUE AU PETIT MARCHE DE MARCORY AVEC PARKING, ASCENSEUR, WIFI ET UN ABONNEMENT NETFLIX PRIX: 25000 NEGOCIABLE POUR LONG SEJOUR : 2734770473 2734770492 ’; 0779641534 0143228281 WHATSHAPP email ikimmobilier2017@gmail.com site internet ikimmob..com"
SEJOUR – RESIDENCE MEUBLEE MARCORY,20.000 FCFA par jour,"MARCORY  PHARMACIE EBATHE, Abidjan, PHARMACIE EBATHE",92.00 m2,Appartement,1,1,2024-06-07 10:28:34,IKIMMOBILIERCOTEDIVOIRE,https://batirici-immobilier.com/properties/sejour-residence-meublee-marcory/,RESIDENCE SAPHIR EBATHE SITUE A MARCORY EN FACE DE LA PHARMACIE EBATHE AVEC WIFI ET UN ABONNEMENT NETFLIX PRIX: 20.000 NEGOCIABLE POUR LONG SEJOUR.
DUPLEX DE 05 PIECES – 2 PLATEAUX VALLONS,2.500.000 FCFA,"Residence des vallons, Rue J80, Deux-Plateaux, Deux Plateaux,  Cocody, Abidjan , Abidjan, Cocody","1,000.00 m2",Maison,4,4,2024-06-07 10:28:38,Christelle TOURE Abidjan,https://batirici-immobilier.com/properties/duplex-de-05-pieces-2-plateaux-vallons/,Duplex de 05 pièces situé entre les 2 plateaux Vallons et Aghien :
Studio americain meublé disponible à la riviera M’badon ambassade de chine,20.000 FCFA,"RIVIERA 2, Abidjan, RIVIERA 2",50.00 m2,Appartement,1,2,2024-06-07 10:28:43,,https://batirici-immobilier.com/properties/studio-americain-meuble-disponible-a-la-riviera-mbadon-ambassade-de-chine/,Studio americain meublé disponible à la riviera M’badon ambassade de chine composé comme suit: -1 Petit salon – 1 grande chambre autonome climatisée -1 salle d’eau -1 Toilette Visiteur -1 Balcon – Wifi – Canal – Cuisine équipée – Parking externe – Très accessible Tarifs: 20 000fr/Jour Contact: +225 07 79 08 54 70 WhatsApp: +225 07 79 08 54 70
Studio américain meublé disponible à la Riviera 2,20.000 FCFA Par mois,"RIVIERA 2, Abidjan, RIVIERA 2",30.00 m2,Appartement,1,1,2024-06-07 10:28:48,,https://batirici-immobilier.com/properties/studio-americain-meuble-disponible-a-la-riviera-2/,"Studio américain meublé disponible à la Riviera 2, Station First Petroleum composé comme suit : — une chambre lumineuse climatisée — Un salon équipé, — TV connectée, abonnement Netflix, Canal… — Wifi fibre optique illimité — Cuisine entièrement équipée — Une petite cour avec un portail individuel Dans une cité sécurisée, un accès très facile et discret pour pour vos cours et longs séjours. Prix d’ouverture promotionnel : 20.000fr/ jour Contact :+225 0779085470"
Magnifique Villa en location meublée – Deux plateaux Vallons – 600 000FCFA par jour,600.000 FCFA par mois,"abidjan, deux plateaux, Abidjan, DEUX PLATEAUX - VALLONS","1,000.00 m2",Maison,6,6,2024-06-07 10:28:52,BLÉ,https://batirici-immobilier.com/properties/magnifique-villa-en-location-meublee-deux-plateaux-vallons-600-000fcfa-par-jour/,Magnifique Villa en location meublée – Deux plateaux Vallons – 600 000 FCFA par jour.
APPARTEMENT MEUBLE DE 03 PIECES – COCODY ROND-POINT ANCIEN CAMP,60.000 FCFA,"Codody Riviera 3, Rond point ancien camp, Abidjan, Riviera triangle",120.00 m2,Appartement,2,2,2024-06-07 10:28:56,Christelle TOURE Abidjan,https://batirici-immobilier.com/properties/appartement-meuble-de-03-pieces-cocody-rond-point-ancien-camp/,
"Location d,une villa duplex de 4 pièces de haut standing à Angré Djorogobiter",650.000 FCFA Par mois,"Abidjan , Abidjan, Angre",200.00 m2,Appartement,3,3,2024-06-07 10:29:00,Charles Boga,https://batirici-immobilier.com/properties/location-dune-villa-duplex-de-4-pieces-de-haut-standing-a-angre-djorogobiter/,"LOCATION D,UNE VILLA DUPLEX DE 4 PIÈCES DE HAUT STANDING À COCODY ANGRÉ Djorogobité"
LOCATION DES APPARTEMENTS DE 4 PIÈCES À YOPOUGON LOCODJRO,210.000 FCFA Par mois,,160.00 m2,,3,2,2024-06-07 10:29:05,Charles Boga,https://batirici-immobilier.com/properties/location-des-appartements-de-4-pieces-a-yopougon-locodjro/,LOCATION APPARTEMENT – ADDOHA – LOCODJRO – (Yopougon)
Location de bureaux au Plateau d’Abidjan,4.118.000 FCFA Par An,"Abidjan le plateau, PLATEAU, Abidjan Plateau XL",,Bureaux,,,2024-06-07 10:29:10,Batirici Immobilier Gestion,https://batirici-immobilier.com/properties/location-de-bureaux-au-plateau-dabidjan/,BUREAU DE 11 POSTES
Duplex à louer à la riviera golf 4,3.500.000 FCFA par mois,"Rivera , Abidjan, Cocody rivera4",350.00 m2,Maison,5,7,2024-06-07 10:29:13,Maury Sylla,https://batirici-immobilier.com/properties/duplex-a-louer-a-la-riviera-golf-4/,"Villa duplex de 8 pièces avec jardin et piscine en location à la Riviera M’badon . La villa est composée de 5 chambres , 2 séjours , un bureau , un jardin , une piscine , une cuisine , une buanderie, un garage."
DUPLEX 2500m2 15PIECES+PISCINE COCODY DANGA,7.000.000 FCFA,"Cocody, Abidjan, Cocody","2,500.00 m2",Maison,13,9,2024-06-07 10:29:19,Vinci-dsk holding ©,https://batirici-immobilier.com/properties/duplex-2500m2-15piecespiscine-cocody-danga/,#COCODY DANGA
DUPLEX 10PIECES 2PLATEAUX VALLON,4.500.000 FCFA,"Cocody, Cocody, Vallô",Année de construction :0,Maison,8,8,2024-06-07 10:29:23,Vinci-dsk holding ©,https://batirici-immobilier.com/properties/duplex-10pieces-2plateaux-vallon/,#2PLATEAUX VALLON #BORDURE VOIE
"Location d,un Triplex de 23 pièces de haut standing à la Riviera 3",6.000.000 FCFA,"zatteboga@yahoo.com , Abidjan, Cocody Riviera 3","1,100.00 m2",Maison,16,16,2024-06-07 10:29:28,Charles Boga,https://batirici-immobilier.com/properties/location-dun-triplex-de-23-pieces-de-haut-standing-a-la-riviera-3/,"Une Villa Triplex 23 pièces de haut standing à louer à Cocody Riviera 3 Superficie: 1106 mètre carré. Capacité du garage: 5 Voitures Condition:2 mois de caution, 2 mois d,agence et 1 mois d,agence. Loyer mensuel :6 millions francs pour habitation. Loyer mensuel : Entreprise 9 millions francs"
Location terrain 7500m2 Zone portuaire Vridi,10.000.000 FCFA,"Abidjan, Abidjan, Vridi",,Terrain,,,2024-06-07 10:29:31,Vinci-dsk holding ©,https://batirici-immobilier.com/properties/location-terrain-7500m2-zone-portuaire-vridi/,#VRIDI ZONE PORTUAIRE
APPARTEMEN*S A LOUER,200.000 FCFA par mois,"Yamoussoukro, yamoussoukro, Morofe nkloidjo",120.00 m2,Appartement,2,2,2024-06-07 10:29:37,ERIC ASSA Gérant,https://batirici-immobilier.com/properties/appartemens-a-louer/,YAMOUSSOUKRO 3 pieces de standing sur un R+2 tres spacieuses les pieces sont équipées en climatisation garage interne sécurisé
Location d’appartements haut standing de 3 pièces à Cocody Riviera 04 ambassade de chine,1.000.000 FCFA par mois,"Cocody, Abidjan, Cocody Riviera 04 ambassade de chine",100.00 m2,Appartement,2,3,2024-06-07 10:29:42,Constant Koffi,https://batirici-immobilier.com/properties/location-dappartements-haut-standing-de-3-pieces-a-cocody-riviera-04-ambassade-de-chine/,Riviera 4
