title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Appartemnet 4 Pièces Cocody riviera Golf ambassade USA,  1 500 000F CFA,,,Appartement,,,2024-06-06 09:11:44,yapgi-immobilier,https://www.yapgi-immobilier.com/locat138.html,"Résidence avec piscine et groupe électrogène. Appartement de 4 pièces avec WC visiteur, 3 chambres avec salle d'eau dans chaque chambre; une terrasse.LOCAT138   GRAND SEJOUR   4 PIECES  CUISINE     PISCINE   GARAGE  TERRASSE"
Appartemnet 3 Pièces au 2 plateaux 7ème tranche,  650 000F CFA,,,Appartement,,,2024-06-06 09:11:45,yapgi-immobilier,https://www.yapgi-immobilier.com/locat146.html,"2 plateaux 7ème tranche, non loin du carrefour opéra, dans une résidence sécurisée avec piscine, nous mettons en location un appartement de 3 pièces soit 2 chambres avec une de bain dans la chambre principale, grande cuisine, séjour donnant sur terrasse, coin buanderie, toilette visiteur.LOCAT146   GRAND SEJOUR   2 CHAMBRES   CUISINE"
Appartemnet 3 Pièces au 2 plateau - 7ème tranche   carrefour Arafat,  400 000F CFA,,,Appartement,,,2024-06-06 09:11:47,yapgi-immobilier,https://www.yapgi-immobilier.com/locat317.html,"2 plateau - 7ème tranche : carrefour Arafat, appartement duplex de 3 pièces disponible idéal en bureau compose au 01er niveau d'une entrée, une cuisine, un WC visiteur, un séjour, un balcon, l'étage 2 chambres avec chacune une salle d'eau.LOCAT317   SEJOUR   2 CHAMBRES    BALCON      TOILETTE VISITEURS   PARKING"
Appartemnet 4 Pièces RIVIERA ABATTA,  450 000F CFA,,,Appartement,,,2024-06-06 09:11:48,yapgi-immobilier,https://www.yapgi-immobilier.com/locat335.html,"Abatta, dans un immeuble récent.  Joli appartement neuf de 4 pièces composé d’un séjour, d’une cuisine aménagée, d’une salle d’eau pour 2 chambres et une salle d’eau dans la chambre principale, des toilettes visiteurs, une terrasse..locat335    GRAND SEJOUR   3 CHAMBRES   3 SALLES D'EAU  BALCON"
Appartemnet 4 Pièces au Plateau,  1 200 000F CFA,,,Appartement,,,2024-06-06 09:11:50,yapgi-immobilier,https://www.yapgi-immobilier.com/locat334.html,"Plateau Cite esculape, en face de la BCEAO, appartement de 4 pièces au 7eme étage avec une belle vue, cuisine, buanderie, séjour, terrasse couverte, une chambre ave salle d'eau, 2 chambres se partageant la même salle d'eau, WC visiteur.LOCAT334    GRAND SEJOUR   3 CHAMBRES    4 SALLES D'EAU  BALCON"
APPARTEMENTS 3 PIÈCES /  M'POUTO cité verdoyante,  350 000F CFA,,,Appartement,,,2024-06-06 09:11:54,yapgi-immobilier,https://www.yapgi-immobilier.com/locat332.html,2Chambres autonomes Séjour éclairé   Split Chauffe eau Parking interne Sécurité 24/24 Immeuble Propre et calmeLOCAT332    GRAND SEJOUR   3 PIECES   4 SALLES D'EAU  BALCON
Appartemnet 3 Pièces ANGRE 7ème TRANCHE, 350 000F CFA,,,Appartement,,,2024-06-06 09:11:56,yapgi-immobilier,https://www.yapgi-immobilier.com/locat228.html,
Appartemnet 4 Pièces à M'badon, 600 000F CFA,,,Appartement,,,2024-06-06 09:11:58,yapgi-immobilier,https://www.yapgi-immobilier.com/locat329.html,"Riviera Mbadon, dans un immeuble récent et sécurisé, appartement de 4 pieces avec cuisine, balcon, 3 chambres avec chacune sa salle d'eau.LOCAT329    GRAND SEJOUR   3 CHAMBRES   CUISINE    4 SALLES D'EAU  GARAGE  SECURITE"
Appartemnet 3 Pièces à ANOUMABO,  300 000F CFA,,,Appartement,,,2024-06-06 09:12:00,yapgi-immobilier,https://www.yapgi-immobilier.com/locat314.html,"Immeuble neuf avec magasin et appartement. Magasin ou entrepôt : 1000 000f et 1 500 000f.  Appartement de 3 pièces avec cuisine , séjour, wc visiteur , balcon, 2 chambres avec chacune une salle d’eau .LOCAT314    GRAND SEJOUR   2 CHAMBRES   BALCON"
Appartemnet 4 Pièces à BASSAM,  230 000F CFA,,,Appartement,,,2024-06-06 09:12:02,yapgi-immobilier,https://www.yapgi-immobilier.com/locat259.html,Bassam quartier bon berger appartement de 3 chambres salonlocat259    GRAND SEJOUR   3 CHAMBRES  BALCON
