title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location Appartement Abidjan Cocody - Appartements Cocody- Ambassade,3 400 000 F CFA,Abidjan - Cocody,165 m²,Appartement,5 pièces,1 salle(s) de bain,2024-06-20 14:51:27,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-cocody-appartements-cocody-ambassade,"Location Appartement Abidjan Cocody - Appartements Cocody- Ambassade   Appartement 5 pièce(s)   Lagoon Résidence offre à ses clients l'opportunité d'une adresse de prestige et le confort d'une résidence de rêve . Située dans le quartier chic et privilégié de Cocody Ambassade , nichée dans un environnement paysager unique. Lagoon résidence est un joyau architectural contemporain aux façades fleuries. Composé d'UN appartement de 4 pièces , lagoon résidence offre toutes les commodités d'une adresse de prestige: Hall d'accueil avec régisseur et hôtesse , pool house avec une paillote , salle de sport et de massage , jardin paysagé , plan d'eau et son accès lagunaire. Appartement au confort raffiné avec vue imprenable sur la lagune , séjour avec grande terrasse végétalisée, chambres autonomes , cuisine entièrement équipée espace service buanderie et employé, climatisé par VRV. Parking privatif et cave en sous-sol , ascenseur résidant et service , sécurité optimum avec maître-chien et vidéo surveillance. Visite virtuelle: http://bit.ly/lagoon_residence_jan_21     Les + du bien  Air conditionné, Aspiration centralisée, Double vitrage, Fenêtres coulissantes, Groupe électrogène, Internet, Stores électriques, Éclairage extérieur, Alarme incendie, Ascenseur, Fibre optique, Alarme, Digicode, Gardien, Portail électrique, Porte blindée, Vidéo surveillance, Vidéophone, Piscine, Cuisinière, Four, Four à micro-ondes, Lave-vaisselle, Réfrigérateur      Services à proximité Aéroport, Bus, Centre ville, Cinéma, Commerces, Crèche, École primaire, École secondaire, Golf, Hôpital/clinique, Médecin, Parc, Salle de sport, Supermarché, Taxi, Tennis"
Location Appartement Abidjan  - Appartements 2 plateaux 8 eme tranche,Prix sur demande,Abidjan - Cocody,0 m²,Appartement,4 pièces,1 salle(s) de bain,2024-06-20 14:51:29,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-appartements-2-plateaux-8-eme-tranche,"Location Appartement Abidjan  - Appartements 2 plateaux 8 eme tranche   Appartement 4 pièce(s)   Immeuble neuf comprenant des logements de 4 piéces et 2 penthahouse , trés lumineux et aux finitions soignées . Piscine , salle de sport. Les prix varient de 800 000 à 1 200 000     Les + du bien  Piscine      Services à proximité Commerces, École secondaire"
Location Appartement Abidjan RIVIERA 4 RESIDENTIELLE - Appartement a la Résidence Chocolat,2 200 000 F CFA,Abidjan - Cocody,0 m²,Appartement,3 pièces,1 salle(s) de bain,2024-06-20 14:51:31,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-riviera-4-residentielle-appartement-la-residence-chocolat,"Location Appartement Abidjan RIVIERA 4 RESIDENTIELLE - Appartement a la Résidence Chocolat   Appartement 3 pièce(s)   Bel appartement équipé de 3 pièces , lumineux aux volumes généreux , climatisé dans une belle résidence au rez de jardin avec une grande terrasse, sécurisée avec 2 places de Parking en sous sol et 1 cave     Les + du bien  Air conditionné, Double vitrage, Groupe électrogène, Internet, Alarme incendie, Ascenseur, Fibre optique, Digicode, Gardien, Portail électrique, Porte blindée, Vidéophone, Four, Lave-linge, Lave-vaisselle, Réfrigérateur, Sèche-linge, Fenêtres coulissantes, Volets roulants électriques, Éclairage extérieur, Vidéo surveillance      Services à proximité École secondaire, Cinéma, Commerces, École primaire, Médecin, Parking public, Salle de sport, Supermarché, Taxi, Université, Aéroport, Centre ville, Crèche, , Golf"
Location Bureau Abidjan PLATEAU CENTRE - IMMEUBLE XL,15 000 F CFA,Abidjan - Cocody,167 m²,Bureaux,Studio,1 salle(s) de bain,2024-06-20 14:51:34,AICI,https://aici.ci/fr/immobiliers/location-bureau-abidjan-plateau-centre-immeuble-xl,"Location Bureau Abidjan PLATEAU CENTRE - IMMEUBLE XL   Bureau 1 pièce(s)   Local de 167 m² au 1er étage , déjà cloisonné dans un immeuble de bureau au 1 er étage. 3 Places de parkings en s/sol dans un immeuble sécurisé. Sécurité garantie     Les + du bien  Air conditionné, Alarme incendie, Ascenseur, Fibre optique, Gardien, Vidéo surveillance, Double vitrage      Services à proximité Bus, Centre ville, Commerces, Hôpital/clinique, Route principale, Supermarché, Taxi"
Location Maison Abidjan RIVIERA 4 RESIDENTIELLE - VILLA RIVIERA GOLF 4,3 500 000 F CFA,Abidjan - Cocody,0 m²,Villa,8 pièces,1 salle(s) de bain,2024-06-20 14:51:36,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-riviera-4-residentielle-villa-riviera-golf-4,"Location Maison Abidjan RIVIERA 4 RESIDENTIELLE - VILLA RIVIERA GOLF 4   Maison 8 pièce(s)   GRANDE VILLA, IDEALE POUR DES BUREAUX , DANS UN QUARTIER RESIDENTIEL ,AVEC PLACES POUR PLUSIEURS VEHICULES.     Les + du bien  Fenêtres coulissantes, Abri de voiture, Éclairage extérieur, Fibre optique, Porte blindée      Services à proximité Bus, Centre ville, Cinéma, Commerces, Crèche, École primaire, École secondaire, Hôpital/clinique, Route principale, Salle de sport, Supermarché, Taxi, Université"
Location Maison Abidjan Cocody - Villa Cocody,7 000 000 F CFA,Abidjan - Cocody,0 m²,Villa,12 pièces,1 salle(s) de bain,2024-06-20 14:51:38,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-cocody-villa-cocody,"Location Maison Abidjan Cocody - Villa Cocody   Maison 12 pièce(s)   Belle villa lumineuse , aux volumes généreux , bonne situation géographique dans un quartier résidentiel .     Les + du bien  Air conditionné, Fenêtres coulissantes, Groupe électrogène, Maison de gardien, Meublé, Abri de voiture, Buanderie commune      Services à proximité Aéroport, Centre ville, Cinéma, Commerces, Crèche, École secondaire, Hôpital/clinique, Médecin, Supermarché"
Location Appartement Abidjan  - Immeuble Haribo Riviera 3,1 400 000 F CFA,Abidjan - Cocody,0 m²,Appartement,4 pièces,1 salle(s) de bain,2024-06-20 14:51:39,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-immeuble-haribo-riviera-3,"Location Appartement Abidjan  - Immeuble Haribo Riviera 3   Appartement 4 pièce(s)   Grand appartement de 5 pièces , dans un immeuble sécurisé avec 2 places de parking .     Les + du bien  Air conditionné, Fenêtres coulissantes, Groupe électrogène, Internet, Alarme incendie, Ascenseur, Gardien, Interphone, Porte blindée, Cuisinière, Four, Four à micro-ondes      Services à proximité Aéroport, Centre ville, Commerces, Crèche, École primaire, École secondaire"
Location Maison Abidjan ENA (CITE DES CADRES) - 2 PLATEAUX  QUARTIER ENA,3 000 000 F CFA,Abidjan - Cocody,0 m²,Villa,5 pièces,1 salle(s) de bain,2024-06-20 14:51:42,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-ena-cite-des-cadres-2-plateaux-quartier-ena,"Location Maison Abidjan ENA (CITE DES CADRES) - 2 PLATEAUX  QUARTIER ENA   Maison 5 pièce(s)   BELLE VILLA DUPLEX DE 5 PIECES DONT 4 CHAMBRES AUTONOMES, 1 GRAND SEJOUR ,DEPENDANCE , GARAGE, GUERITE , PISCINE ET POOL HOUSE . DANS UN QUARTIER RESIDENTIEL NON LOIN DE COMMERCES ET DES ECOLES INTERNATIONALES     Les + du bien  Double vitrage, Fenêtres coulissantes, Abri de voiture, Éclairage extérieur, Piscine      Services à proximité Centre ville, Cinéma, Commerces, Crèche, École primaire, École secondaire, Golf, Hôpital/clinique, Médecin, Salle de sport, Supermarché, Taxi"
Location Maison Abidjan II PLATEAUX 6ème TRANCHE 1 et 2 - Myralis - 2 plateaux,1 200 000 F CFA,Abidjan - Cocody,0 m²,Villa,5 pièces,1 salle(s) de bain,2024-06-20 14:51:44,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-ii-plateaux-6eme-tranche-1-et-2-myralis-2-plateaux,"Location Maison Abidjan II PLATEAUX 6ème TRANCHE 1 et 2 - Myralis - 2 plateaux   Maison 5 pièce(s)   Villa de 5 pièces, lumineuse ,entièrement climatisée, dans une résidence sécurisée . Loyer : 1 200 000 cfa ( charges incluses)     Les + du bien  Air conditionné, Fenêtres coulissantes, Abri de voiture, Éclairage extérieur, Gardien      Services à proximité Bus, Centre ville, Cinéma, Commerces, Crèche, École primaire, École secondaire, Golf, Hôpital/clinique, Salle de sport, Supermarché"
Location Maison Abidjan II PLATEAUX 7ème TRANCHE - Myralis - 2 plateaux,1 300 000 F CFA,Abidjan - Cocody,0 m²,Villa,5 pièces,1 salle(s) de bain,2024-06-20 14:51:47,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-ii-plateaux-7eme-tranche-myralis-2-plateaux,"Location Maison Abidjan II PLATEAUX 7ème TRANCHE - Myralis - 2 plateaux   Maison 5 pièce(s)   Villa 5 pièces , lumineuse , entièrement climatisée, dans une résidence sécurisée. Loyer: 1 300 000 cfa ( charges comprises)     Les + du bien  Abri de voiture, Alarme incendie, Gardien      Services à proximité Bus, Centre ville, Cinéma, Commerces, Crèche, École primaire, École secondaire, Golf, Hôpital/clinique, Salle de sport, Université"
