title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Belle Villa familiale dans une résidence agréable et sécurisée sur Grand-Bassam(Location),Prix :400 000XOF,Grand-Bassam Rosiers,300 m2,Villas,4,3,2024-07-04 13:31:42,Mme Webb         Berthe,https://annonces.abidjan.net/immobiliers/13174/details/belle-villa-familiale-dans-une-residence-agreable-et-securisee-sur-grand-bassam,"Jolie Villa Familiale de 4 Pièces comprenant :1 Séjour/SAM spacieux en plan ouvert 1 Cuisine spacieuse avec Rangements3 Chambres internes avec beaucoup de rangements, dont 1 autonome avec balcon1 Garage Chauffe-eau et 1 Jardin agréable de faible maintenance Le tout dans un environnement  calme, résidentiel et sécurisé avec écoles maternelle et primaires, supérette, pharmacie, garage pro et pressing à proximité Cette villa sera disponible en fin Juillet. Les visites sont Gratuite et possibles maintenant sur rdv au 0575 899 464Les conditions de location sont: 2 mois de caution +2 mois d'avance de loyer + 1 mois d'agence"
Villa en duplex(Location),Prix :1 000 000XOF,Cocody Riviéra Mbadon,,Villas,4,,2024-07-04 13:31:46,Tambima         Yougoulazo Edouard,https://annonces.abidjan.net/immobiliers/13167/details/villa-en-duplex,Villa en duplex de 4 pièces avec -1 séjour- chambres autonomes -toilettes visiteurs -cuisine-garage 1 voiture - guérite -splits-chauffe eau-buanderie-dalle-debarras IsM
Villa(Location),Prix :6 000 000XOF,Abidjan Riviéra golf 4,1000 m2,Villas,6,6,2024-07-04 13:31:52,Tambima         Yougoulazo Edouard,https://annonces.abidjan.net/immobiliers/13160/details/villa,"Villa en duplex haut standing de 6 pièces avec 3 dépendances,piscine,jardin,garage,sur 1000 m²,située à la riviera golf 4AmS"
Location villa 5 pièces - 2 Plateaux(Location),Prix :600 000XOF,Cocody 2,500 m2,Villas,5,3,2024-07-04 13:31:59,Krayé         Armel David,https://annonces.abidjan.net/immobiliers/13159/details/location-villa-5-pieces-2-plateaux,"Villa 5Pc spacieuse et aérée d'une superficie de 500 mètres carré à Cocody Aghien cité Sanon.Jardin cour avant et cour arrière 4 chambres dont 1 indépendante  1 préau dans le jardin avant Garage 2 voitures Loyer : 600.000 F / mois Conditions : 2 mois de caution, 2 mois d'avance et 1 mois d'agence.  Possibilité de visiter : - lundi à Samedi : 9h à 17h  - dimanche : 15h à 17h m'appeler bien avant"
"Duplex haut standing 8 pièces, dépendance garage de 4 voitures, grand jardin,sis à la Riviera 3 sodeci pas loin du lycée Français Blaise Pascal(Location)",Prix :2 000 000XOF,Cocody Riviera 3,1500 m2,Villas,8,10,2024-07-04 13:32:04,Koua         Didier,https://annonces.abidjan.net/immobiliers/13116/details/duplex-haut-standing-8-pieces-dependance-garage-de-4-voitures-grand-jardin-sis-a-la-riviera-3-sodeci-pas-loin-du-lycee-francais-blaise-pascal,"Situé à la Riviera 3 sideci quartier prisé proche du lycée Français Blaise Pascal, nous louons une somptueuse villa-duplex moderne 8 pièces, dépendance garage de 4 voitures, grand jardin. Elle est prête à être habitée."
VILLA 5 PIECES A LOUER RIVIERA FAYA ROUTE ABATTA(Location),Prix :400 000XOF,Cocody Riviera faya route abatta,300 m2,Villas,5,4,2024-07-04 13:32:08,N'dri         Ismael,https://annonces.abidjan.net/immobiliers/13021/details/villa-5-pieces-a-louer-riviera-faya-route-abatta,VILLA 5 PIECES A LOUER COCODY RIVIERA FAYA ROUTE ABATTA LOYER:400 000F CFA LE MOIS TEL: 07 08 46 76 80  / 01 40 93 76 23
VILLA 6 PIECES CITE AGB MODESTE ROUTE BASSAM(Location),Prix :500 000XOF,Modeste Cite agb,200 m2,Villas,6,4,2024-07-04 13:32:12,N'dri         Ismael,https://annonces.abidjan.net/immobiliers/13020/details/villa-6-pieces-cite-agb-modeste-route-bassam,VILLA 6 PIECES AVEC GARAGES 2 VOITURES A LOUER CITE AGB ROUTE GRAND BASSAM PRES DES RESIDENCES AZUR PRIX= 500 000F CFA X 5 TEL: 07 08 46 76 80/0140937623
VILLA DUPLEX DE 06 PIECES - CITE SIR DJOROGOBITE(Location),Prix :600 000XOF,Cocody Cité SIR DJOROGOBITE,600 m2,Villas,6,6,2024-07-04 13:32:18,SANDRA         K IMMO,https://annonces.abidjan.net/immobiliers/12953/details/villa-duplex-de-06-pieces-cite-sir-djorogobite,CITÉ SIR DJOROGOBITE Duplex 06 pièces de standing comportant : Au rez-de-chaussée :01 séjour01cuisine01 chambre autonome01 toilette visiteurs A l ’étage :03 chambres autonomes dont la principale avec baignoire01 toiture-terrasse Commodités :01 garage d’une voiture01 grand jardin01 chambre de service
MAISON BASSE DE 04 PIECES(Location),Prix :300 000XOF,Abobo Abobo SOGEFIHA carrefour Jock,,Villas,4,3,2024-07-04 13:32:22,SANDRA         K IMMO,https://annonces.abidjan.net/immobiliers/12942/details/maison-basse-de-04-pieces,Villa basse de 04 pièces accessible comportant :01 séjour01cuisine01 chambre autonome02 chambres avec toilettes communes01 terrasse01 jardin01 garage01 dépendanceUsages : bureau ou habitation
location de villa avec piscine(Location),Prix :1 700 000XOF,cocody riviera,,Villas,7,5,2024-07-04 13:32:25,Gaouidi         mark,https://annonces.abidjan.net/immobiliers/12924/details/location-de-villa-avec-piscine,En location à la riviera 5 faya abattaVilla duplex de 7 pièces de haut standing de le vers mondial béton.-Toutes les chambres sont autonomes (5 chambres)- climatisation installer- chauffe eau-une très grande piscine- bureau- une dalle au dessus qui offre une belle vuePrix du loyer mensuel : 1.700.000 f CFAcontacts : 0709802469 / 0153336375
