title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartements  3 et 4 pièces - Cocody riviera 4,1 600 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,4,2024-07-04 09:56:55,Help Services,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-et-4-pieces-cocody-riviera-4-4800602,"a louer, riviera 4 m'badon - clinique procréa  mise en location d'appartements luxueux de 3 et 4 pièces dans une nouvelle résidence moderne propre et sécurisée  1 séjour lumineux avec balcon  2 & 3 chambres autonomes 1 salle d'eau visiteur 1 cuisine moderne avec buanderie et balcon   commodités :  * rooftop, espace lounge et bar avec une très belle vue sur la lagune ébrié 1 piscine 1 salle de sport  1 conciergerie   parking interne  1 réserve d'eau  1 groupe électrogène 1 laverie moderne splits et chauffe-eaux installés...  nb: il ne reste plus assez d'appartements   • loyer 3 pièces :  1.200.000 fcfa *4 pièces : a partir de 1.600.000 fcfa"
Location appartements 2 pièces - Cocody,230 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",130 m2,Appartements,2,3,2024-07-04 09:57:03,JCA-IMMOBILIER,https://ci.coinafrique.com/annonce/appartements/location-appartements-2-pieces-cocody-4796097,#jca-groupimmo loue plusieurs appartements ????3pieces et 2pieces???? haut standing lumineux biens staffés. des appartements sont disponibles du rez de chaussée jusqu’au 3ème étage.      ⚠️sise: entre le chu d’angré et le feu de la cité sir.             ✳️commodité    ✅des chambres autonomes    ✅grand salon lumineux    ✅grande cuisine    ✅grand balcon    ✅wc visiteur    ✅caméra de surveillance    ✅service de sécurité    ✅service de nettoyage du bâtiment    ✅interphones☎️   ✅chaud eaux    ✅parking intérieur????️              ✳️#loyer : 2pieces : 230.000xof                                  3pieces : 370.000xof
Location appartement de standing 4 pièces - Cocody 2 Plateaux vallon,750 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",130 m2,Appartements,4,2,2024-07-04 09:57:16,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-de-standing-4-pieces-cocody-2-plateaux-vallon-4814257,*en location*   ☑️```un  appartement de standing 4pièces à louer au 2plateaux vallon. composé de: -03 chambres dont la principale autonomes avec placard -01 séjour spacieux avec coin à manger. -01 cuisine -01 wc -01 sdb -parking  -résidence sécurisée -acces bitumé -chauffe eau/splits installés ☑️loyer:750k visite possible sur rendez vous```
Location appartement 5 pièces - 2 Plateaux Vallon,1 900 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,5,5,2024-07-04 09:57:24,Miss Kouassi La responsable Co,https://ci.coinafrique.com/annonce/appartements/location-appartement-5-pieces-2-plateaux-vallon-4820224,"#location : 2 plateaux vallons  #loyer :1.900.000.  #2plateaux vallon non loin du restaurant la nuit du saïgon.   appartement 5 pièces  groupe électrogène, piscine, ascenseur, gardien.  gaz ,  marbre au sol.  parking au sous-sol . cuisine équipée .  sodeci gratuite  loyer : 1.900.000 fcf conditions : 5 mois"
Location appartement de standing 4 pièces - Cocody Riviera 3,750 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",120 m2,Appartements,4,2,2024-07-04 09:57:35,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-de-standing-4-pieces-cocody-riviera-3-4786229,En location un appartement de standing 4 pièces spacieux à louer a la riviera 3. composé de: -3 chambres avec placards -1 séjour spacieux avec coin à manger -1 cuisine moderne m - chauffe eau/splits installé - air de jeu pour enfants - 01 club house - piscine commune - 2 places parking - securite h24 - acces bitumé - toilette visiteur - buanderie ☑️loyer:750k visite possible sur rendez-vous```
Location appartement 3 pièces - Cocody,250 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",80 m2,Appartements,3,2,2024-07-04 09:57:43,YAPGI,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-4815422,"Riviera triangle dans immeuble securise, appartement de 3 pieces au res de chaussee  compose de d'un grand sejour, une cuisine, une buanderie, un balcon, 2 chambres avec placard et salle d'eau chacune"
Location appartement 3 pièces - Grand-Bassam,150 000 CFA,"Grand-Bassam, Côte d'Ivoire",80 m2,Appartements,3,2,2024-07-04 09:57:52,YAPGI,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-grand-bassam-4815399,"Grand bassam centre villa, dans un immeuble recent appartement de 3 pieces avec 2 salle d'eau, balcon, buanderie"
Location appartement 4 pièces - Grand-Bassam,200 000 CFA,"Grand-Bassam, Côte d'Ivoire",100 m2,Appartements,4,2,2024-07-04 09:58:01,YAPGI,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-grand-bassam-4815397,"Grand bassam centre villa, dans une residence recente, appartement de 4 pieces avec 3 chambres . salle d'eau dans la chambre principale, une buanderie et une grande terrasse. vue degagee"
Location appartement 3 pièces - Cocody Riviera 4,1 800 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",80 m2,Appartements,3,3,2024-07-04 09:58:09,YAPGI,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-riviera-4-4815387,"Riviera 4- residence chocolat,  appartement de standing dans une residence prestigeieuse et securisee. appartement de 3 pieces meuble et equipe ave tout le confort, 2 places de parking, un cellier, une salle de sport"
Location appartement 3 pièces - Cocody 2 Plateaux Vallon,550 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",110 m2,Appartements,3,2,2024-07-04 09:58:19,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-2-plateaux-vallon-4804047,En location un  appartement de standing 3 pièces à louer au 2 plateaux vallon. composé de : -02 chambres autonomes avec placard -01 séjour spacieux -01 cuisine -01 toilette visiteur -parking interne -résidence sécurisée -chauffe eau -ascenseur disponible loyer:550k visite possible sur rendez vous
