title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Riviera Bonoumin,Prix sur demande,,,,2,2,2024-07-04 09:47:17,PRODIGE IMMOBILIER,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/riviera-bonoumin/,
Magnifique Villa en location meublée – Deux plateaux Vallons – 600 000FCFA par jour,600.000 Fcfa / jour,,1.000m2,villa,6,6,2024-07-04 09:47:22,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/magnifique-villa-en-location-meublee-deux-plateaux-vallons-600-000fcfa-par-jour/,"Description   Magnifique Villa en location meublée – Deux plateaux Vallons – 600 000 FCFA par jour. La magnifique VILLA LeMan, située dans le prestigieux quartier des Deux-Plateaux-Vallons à Cocody, vous reçoit pour vos séjours de rêve sur ABIDJAN, en Côte d’Ivoire. Dans ce cadre exceptionnel, paisible et sécurisé, la Villa LeMan vous offre toutes les commodités. La villa se trouve à 5 mn de la Rue des Jardins, à proximité de nombreux commerces, banques et restaurants. Un jardin arboré et fleuri, une piscine avec jacuzzi pour les grands et une pour les petits, ainsi qu’un jeu de cascades, vous donneront l’envie de passer la nuit sur la belle et grande terrasse, donnant sur le jardin. A l’intérieur de la VILLA, occupez les agréables espaces aménagés par des spécialistes pour vous. Découvrez notamment, un grand séjour équipé de Smart-tv, de même que dans les principales pièces, deux salles à manger, deux espaces détente, avec un piano, un casque de réalité virtuelle, etc. Cette belle demeure, composée de 6 chambres et de 6 salles de bain, est entièrement couverte par le wifi. Pour votre SECURITE, la VILLA LeMan, a su mettre les petits plats dans les grands, en installant 8 caméras de vidéo surveillance, un enregistreur numérique, une barrière électrifiée sur la clôture et un poste vidéophone connecté à l’entrée. Déposez vos valises chez LeMan, et profitez sereinement d’ABIDJAN !!!   LOCATION DE LA VILLA ENTIÈRE * De 1 à 4 jours : 600 000 FCFA par jour * De 5 à 20 jours : 550 000 FCFA par jour * De 21 à 29 jours : 500 000 FCFA par jour * A partir de 30 jours : 450 000 FCFA par jour LOCATION DES SUITES (2) * De 1 à 20 jours : 150 000 FCFA par jour * A partir de 21 jours : 112 500 FCFA par jour LOCATION DES CHAMBRES (4) * De 1 à 20 jours : 125 000 FCFA par jour * A partir de 21 jours : 112 500 FCFA par jour Contact : 00 33 664335470 (également numéro WhatsApp)Référence 15469  Prix                                                                          600.000 Fcfa                                     / jour    Type d'annonce Villa   Statut de l'annonce Location   Pièces 15   Chambres 6   Salles de bains 6   Surface 1.000 m2   Surface du terrain 1.500 m2   Garages 4   Salon 4   Salle à manger 2   Cuisine 1   Balcon / Terasse 5   Jardin 1   Piscine 1"
villa duplex a louer Cocody Riviera 2,1.500.000 Fcfa,,,villa,4,4,2024-07-04 09:47:26,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/villa-duplex-a-louer-cocody-riviera-2/,"Description    LOCATION   👉Cocody Riviera 2   Villa duplex de 05 pièces   Composée de:   1 séjour et une salle a manger   04 chambres autonomes ( Split+dressing+salle d’eau )   Une cuisine , une terrasse , une.cour arrière , une dépendance , un garage de 02 voitures une guérite et un immense jardin .   Des volets roulant au baie vitrée   Loyer : 1 500 000 FCFA /mois   0141066484Référence 15392  Prix                                                                          1.500.000 Fcfa                                                                       Type d'annonce Duplex et Triplex   Statut de l'annonce Location   Pièces 5   Chambres 4   Salles de bains 4   Étiquette Location annuelle   Salon 1   Salle à manger 1   Cuisine 1   Magasin de   Balcon / Terasse 1   Annexes de   Salle de gym de   Jardin 1   Piscine de   Dimensions du terrain de"
Superbe appartement 04 pieces meuble à louer à Marcory Zone 4,150.000 Fcfa / jour,,145m2,appartement,3,4,2024-07-04 09:47:31,MARIUS GBE,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/superbe-appartement-04-pieces-meuble-a-louer-a-marcory-zone-4/,Description    A louer un appartement Meublée 04 PIÈCES – MARCORY ZONE 04   (03 chambres – salon) Haut standing   Avec les commodités suivantes:   – Un séjour – Grande baie vitrées – Chambres autonomes – Dressing – Cuisine équipée – Lave linge – Toilettes visiteur – Parking – Ascenseurs – Vue imprenable   Disponible !!!   #Prix_Journalier : 150.000 frsRéférence 15325  Prix                                                                          150.000 Fcfa                                     / jour    Type d'annonce Appartement   Statut de l'annonce Location   Pièces 4   Chambres 3   Salles de bains 4   Année de construction 2017   Surface 145 m2   Surface du terrain 145 m2   Garages 2   Salon OUI   Balcon / Terasse OUI   Jardin NON   Piscine NON
Residence Harmonia pour location d’appartement tout équipé,85.000 Fcfa,,,appartement,1,1,2024-07-04 09:47:37,HIS AGENCE,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/residence-harmonia-pour-location-dappartement-tout-equipe/,"Description   HARMONIA SUITE – PLATEAU CCIA Charmant design intérieur avec une touche de mobilier en bois rend chaque coin de la pièce propre et confortable Idéal pour les travailleurs de la Bad et des institutions financières au Plateau  composé comme suit:  Appartement tout équipé Cuisine et buanderie avec machine à laver et à sécher + un lave vaisselle Chambre principale avec un dressing Séjour et salle à manger Parking souterrain et ascenseur Grande Piscine commune Jardin commun  ✅ www.hisagence.com ✅Email : info@hisagence.com ✅Instagram : Hiscorporate ✅LinkedIn : Hiscorporate ✅Tik tok : His corporate ✅ Contacts : (225) 27 22 54 61 74 / 07 08 95 21 31 / 07 08 95 21 85Référence 15298  Prix                                                                          85.000 Fcfa                                                                       Type d'annonce Appartement   Statut de l'annonce Location   Pièces 2   Chambres 1   Salles de bains 1   Étiquette Location annuelle, Location saisonnière, Location vacances, Long séjour   Salon 1   Salle à manger 1   Cuisine 1   Jardin 1   Piscine 1"
Appartement à louer à la rivera abatta carrefour bceao,240.000 Fcfa,,150m2,appartement,2,2,2024-07-04 09:47:42,Ncho50,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/appartement-a-louer-a-la-rivera-abatta-carrefour-bceao/,"Description   Appartement à louer à la rivera abatta carrefour bceao 240 000 fcf   CARACTÉRISTIQUES:    Un appartement de 3 PCS situé dans un immeuble au deuxième étage.   Un salon. Un balcon. Une cuisine. Deux chambres dont une autonome. Une douche visiteur. Services à proximité: taxi,commerces,bus,crèche,école primaire,école secondaire.    Conditions: 5 mois NB: pas de frais de visite   Numéro de téléphone (whatsapp): 05-02-18-06-62Référence 15280  Prix                                                                          240.000 Fcfa                                                                       Type d'annonce Appartement   Statut de l'annonce Location   Pièces 3   Chambres 2   Salles de bains 2   Surface 150 m2   Surface du terrain 500 m2   Étiquette Location annuelle   Salon 1   Salle à manger 1   Cuisine 1   Balcon / Terasse 1"
location de villa à Sogephia,160.000 Fcfa,,200m2,villa,3,2,2024-07-04 09:47:46,armymande,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/location-de-villa/,Description   villa  4 pieces cour avant cour arriere garage quartier sogephia extension 160 000 f cel 0505372332Référence 15252  Prix                                                                          160.000 Fcfa                                                                       Type d'annonce Maison   Statut de l'annonce Location   Pièces 4   Chambres 3   Salles de bains 2   Surface 200 m2   Garages 1   Salon 1   Balcon / Terasse 2
STUDIO A LOUER A GRAND-BASSAM,100 Mille  Fcfa,,,studio,,,2024-07-04 09:47:51,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/studio-a-louer-a-grand-bassam/,"Description   Nous vous proposons un studio à Grand-Bassam précisément à Mockeyville deuxième femme peule. L’appartement est à 100.000f. Les conditions c’est 2 mois de caution, 2 mois d’avance et 1 mois pour le gérant.Référence 15237  Prix                                                                          100 Mille  Fcfa                                                                       Type d'annonce Appartement   Statut de l'annonce Location   Étiquette Non meublé"
Dupl à louer à Cocody Abidjan,"1,000,000 950 Fcfa",,300m2,,6,6,2024-07-04 09:47:55,,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/dupl-a-louer-a-cocody-abidjan/,"Description   DUPLEX A LOUER  2 Salons 4 Chambres autonomes [Split + Douche WC] 1 Dressing [Baignoire + Douche cabine] chambre principale 2 Dépendances [Douche + WC] 1 Bureau 1 Cuisine Moderne [Cuisiniere + Hotte à évacuation] 1 Garage interne [Parking externe disponible] 1 Chauffe-eau 1 Jardin 1 Grand balcon [+ Espace Bar/Cocktail] 1 Buanderie  SECURITE  Guérite de sécurité Barbelés électrique Cameras de surveillance + Poste de controle Cité securisé par des vigiles 24/7  CONDITIONS 4 MOIS  2 Mois Cautions 1 Mois Avance 1 Mois Agence  PRIX  1 000 000 FCFA /Par Mois  ADRESSE  Cité Oribat 2, Feh Kessé, Cocody, Abidjan  CONTACT  +225 0767475356Référence 15241  Prix  1,000,000                                     950 Fcfa                                                                       Type d'annonce Duplex et Triplex   Statut de l'annonce Location   Pièces 9   Chambres 6   Salles de bains 6   Année de construction 2023   Surface 300 m2   Surface du terrain 300 m2   Étiquette Location annuelle, Location saisonnière   Garages 1   Salon 2   Salle à manger 1   Cuisine 1   Balcon / Terasse 2   Jardin 1   Dimensions du terrain 300   DUPLEX A LOUER 950 000"
Villa duplex de 05 pieces en location,Prix sur demande,,500m2,villa,4,5,2024-07-04 09:48:00,Samuel Kouame,https://annonces-immobilieres-cote-ivoire.com/annonces-immobilieres/villa-duplex-de-05-pieces-en-location/,"Description   MISES EN LOCATION A Bingerville N’Moket Résidentiel, près de Lauriers 21: Belles et neuves Villas duplex 🏘️ de 5 pieces – 01 Séjour/ Salle à manger – 04 Chambres autonome – 01 Cuisine – 01 Chauffe eau – 01 Toilette visiteur – une Cour Avant et Arrière – 01 Garage 👉 Loyer 5 pieces : 520 000f Conditions : 5 mois Visite possible tous les jours WATSAP:0141286800Référence 15221   Prix Prix sur demande   Type d'annonce Villa   Statut de l'annonce Location   Pièces 5   Chambres 4   Salles de bains 5   Année de construction 2023   Surface 500 m2   Étiquette Loué !   Garages 1   Surface du garage 35 m2   Salon Oui   Salle à manger Oui   Cuisine Oui   Balcon / Terasse Oui   Jardin Oui   Dimensions du terrain 500"
