title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location Appartement Abidjan  - Appartements 2 plateaux 8 eme tranche,Prix sur demande,Abidjan -,0 m²,Appartement,4 pièces,1 salle(s) de bain,2024-07-18 12:28:19,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-appartements-2-plateaux-8-eme-tranche,"Location Appartement Abidjan  - Appartements 2 plateaux 8 eme tranche   Appartement 4 pièce(s)   Immeuble neuf comprenant des logements de 4 piéces et 2 penthahouse , trés lumineux et aux finitions soignées . Piscine , salle de sport. Les prix varient de 800 000 à 1 200 000     Les + du bien  Piscine      Services à proximité Commerces, École secondaire"
Location Bureau Abidjan PLATEAU CENTRE - IMMEUBLE XL,15 000 F CFA,Abidjan -,167 m²,Bureaux,Studio,1 salle(s) de bain,2024-07-18 12:28:23,AICI,https://aici.ci/fr/immobiliers/location-bureau-abidjan-plateau-centre-immeuble-xl,"Location Bureau Abidjan PLATEAU CENTRE - IMMEUBLE XL   Bureau 1 pièce(s)   Local de 167 m² au 1er étage , déjà cloisonné dans un immeuble de bureau au 1 er étage. 3 Places de parkings en s/sol dans un immeuble sécurisé. Sécurité garantie     Les + du bien  Air conditionné, Alarme incendie, Ascenseur, Fibre optique, Gardien, Vidéo surveillance, Double vitrage      Services à proximité Bus, Centre ville, Commerces, Hôpital/clinique, Route principale, Supermarché, Taxi"
Location Appartement Abidjan  - Immeuble Haribo Riviera 3,1 400 000 F CFA,Abidjan -,0 m²,Appartement,4 pièces,1 salle(s) de bain,2024-07-18 12:28:24,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-immeuble-haribo-riviera-3,"Location Appartement Abidjan  - Immeuble Haribo Riviera 3   Appartement 4 pièce(s)   Grand appartement de 5 pièces , dans un immeuble sécurisé avec 2 places de parking .     Les + du bien  Air conditionné, Fenêtres coulissantes, Groupe électrogène, Internet, Alarme incendie, Ascenseur, Gardien, Interphone, Porte blindée, Cuisinière, Four, Four à micro-ondes      Services à proximité Aéroport, Centre ville, Commerces, Crèche, École primaire, École secondaire"
Location Maison Abidjan ENA (CITE DES CADRES) - 2 PLATEAUX  QUARTIER ENA,3 000 000 F CFA,Abidjan -,0 m²,Villa,5 pièces,1 salle(s) de bain,2024-07-18 12:28:26,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-ena-cite-des-cadres-2-plateaux-quartier-ena,"Location Maison Abidjan ENA (CITE DES CADRES) - 2 PLATEAUX  QUARTIER ENA   Maison 5 pièce(s)   BELLE VILLA DUPLEX DE 5 PIECES DONT 4 CHAMBRES AUTONOMES, 1 GRAND SEJOUR ,DEPENDANCE , GARAGE, GUERITE , PISCINE ET POOL HOUSE . DANS UN QUARTIER RESIDENTIEL NON LOIN DE COMMERCES ET DES ECOLES INTERNATIONALES     Les + du bien  Double vitrage, Fenêtres coulissantes, Abri de voiture, Éclairage extérieur, Piscine      Services à proximité Centre ville, Cinéma, Commerces, Crèche, École primaire, École secondaire, Golf, Hôpital/clinique, Médecin, Salle de sport, Supermarché, Taxi"
Location Maison Abidjan GOLF - Villas Riviera Golf -Les Flamboyants,5 500 000 F CFA,Abidjan -,0 m²,Villa,6 pièces,1 salle(s) de bain,2024-07-18 12:28:27,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-golf-villas-riviera-golf-les-flamboyants,"Location Maison Abidjan GOLF - Villas Riviera Golf -Les Flamboyants   Maison 6 pièce(s)   Magnifique villa en duplex de 6 piéces , avec piscine et dépendances dans une résidence calme , sécurisée , arborée . Venez découvrir un cadre unique à Abidjan ! Loyer : 4 500 000 cfa charges comprises     Les + du bien  Air conditionné, Double vitrage, Groupe électrogène, Volets roulants électriques, Maison de gardien, Porte blindée, Vidéophone, Piscine, Cuisinière, Four, Four à micro-ondes, Lave-vaisselle, Plaque de cuisson, Réfrigérateur      Services à proximité Aéroport, Centre ville, Commerces, Crèche, École primaire, École secondaire, Golf, Hôpital/clinique, Médecin, Salle de sport, Supermarché"
Location Appartement Abidjan Plateau - appartement Bellevue,1 700 000 F CFA,Abidjan -,0 m²,Appartement,4 pièces,1 salle(s) de bain,2024-07-18 12:28:29,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-plateau-appartement-bellevue,"Location Appartement Abidjan Plateau - appartement Bellevue   Appartement 4 pièce(s)   Bel appartement de 4 pièces à l'immeuble Bellevue au Plateau entièrement rénové et climatisé .     Les + du bien  Air conditionné, Fenêtres coulissantes, Internet, Ascenseur, Fibre optique, Gardien, Porte blindée      Services à proximité Centre ville, Cinéma, Commerces, Crèche, École primaire, École secondaire, Hôpital/clinique, Médecin, Supermarché"
Location Maison Abidjan RIVIERA 4 RESIDENTIELLE - Villa à la Riviera Golf,5 500 000 F CFA,Abidjan -,0 m²,Villa,7 pièces,1 salle(s) de bain,2024-07-18 12:28:31,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-riviera-4-residentielle-villa-la-riviera-golf,"Location Maison Abidjan RIVIERA 4 RESIDENTIELLE - Villa à la Riviera Golf   Maison 7 pièce(s)   Au résidence Les Flamboyants , magnifique villa de 7 pièces avec un studio indépendant , une dépendance , une piscine , une guérite . Résidence sécurisée . avec gpe électrogène et réserve d'eau Loyer : 5 500 000 F/CFA:TCC/mois     Les + du bien  Air conditionné, Double vitrage, Fenêtres coulissantes, Groupe électrogène, Internet, Volets roulants électriques, Éclairage extérieur, Fibre optique, Maison de gardien, Digicode, Gardien, Portail électrique, Porte blindée, Vidéo surveillance, Piscine, Four à micro-ondes, Lave-vaisselle, Plaque de cuisson, Réfrigérateur      Services à proximité Aéroport, Centre ville, Commerces, Crèche, École primaire, École secondaire, , Golf, Hôpital/clinique, Médecin, Supermarché, Tennis, Université"
Location Appartement Abidjan Cocody - Appartement à Cocody Canebiére,1 500 000 F CFA,Abidjan -,0 m²,Appartement,3 pièces,1 salle(s) de bain,2024-07-18 12:28:34,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-cocody-appartement-cocody-canebiere,"Location Appartement Abidjan Cocody - Appartement à Cocody Canebiére   Appartement 3 pièce(s)   Appartement de 3 pièces à Cocody Canebière , dans une résidence sécurisée avec piscine , terrains de tennis et jardin arboré. Place de parking en s/sol. Loyer : 1 500 000 F/CFA/TCC/mois     Les + du bien  Air conditionné, Double vitrage, Fenêtres coulissantes, Groupe électrogène, Éclairage extérieur, Ascenseur, Fibre optique, Gardien, Portail électrique, Piscine, Tennis"
Location Appartement Abidjan PERLES I - Appartement à la Résidence Mamida,2 200 000 F CFA,Abidjan -,0 m²,Appartement,4 pièces,1 salle(s) de bain,2024-07-18 12:28:36,AICI,https://aici.ci/fr/immobiliers/location-appartement-abidjan-perles-i-appartement-la-residence-mamida,"Location Appartement Abidjan PERLES I - Appartement à la Résidence Mamida   Appartement 4 pièce(s)   Appartement équipé de 4 pièces au 2 plateaux Vallon , avec piscine , salle de sport , ascenseur et places de parking Loyer : 2 200 000 cfa/mois     Les + du bien  Air conditionné, Double vitrage, Fenêtres coulissantes, Éclairage extérieur, Alarme incendie, Ascenseur, Fibre optique, Gardien, Interphone, Portail électrique, Piscine, Four, Four à micro-ondes, Lave-linge, Réfrigérateur      Services à proximité Aéroport, Bus, Centre ville, Cinéma, Commerces, École primaire, École secondaire, , Hôpital/clinique, Supermarché"
Location Maison Abidjan RIVIERA 4 RESIDENTIELLE - Complexe de 4 villas à la Riviera Golf,2 500 000 F CFA,Abidjan -,0 m²,Villa,6 pièces,1 salle(s) de bain,2024-07-18 12:28:39,AICI,https://aici.ci/fr/immobiliers/location-maison-abidjan-riviera-4-residentielle-complexe-de-4-villas-la-riviera-golf,"Location Maison Abidjan RIVIERA 4 RESIDENTIELLE - Complexe de 4 villas à la Riviera Golf   Maison 6 pièce(s)   Complexe de 4 villas de 6 pièces , idéal pour en faire un siège de société ou pour loger des employés , Piscine , gardiens , groupe électrogène , places de parking internes et extérieures. situés à la Riviera Golf Loyer : 2 500 000 cfa/ villa     Les + du bien  Air conditionné, Double vitrage, Groupe électrogène, Abri de voiture, Éclairage extérieur, Fibre optique, Gardien, Interphone, Piscine"
