title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Bel Appartement de 3 Pièces meublé à 10 min des places de Modeste sur Grand-Bassam(Location),Prix :50 000XOF,Grand-Bassam Modeste,120 m2,Appartements,3,3,2024-07-18 12:44:43,Mme Webb         Berthe,https://annonces.abidjan.net/immobiliers/13173/details/bel-appartement-de-3-pieces-meuble-a-10-min-des-places-de-modeste-sur-grand-bassam,"Bel appartement 3 pièce meublé haut standing avec vue imprenable sur Modeste, comprenant:1 Séjour/SAM spacieux et bellement équipé avec terrasse1 Belle Cuisine européenne tout équipée 2 Belles Chambres autonomes équipées avec balcon1 Vue imprenable 2 Places de parking allouées dans la résidence Air conditionné, chauffe-eau, Canal+ et WiFi pour votre confortPetits commerces de proximité dont supérette, boulangerie, pressing, et restaurants"
DUPLEX 5 PIECES A LOUER COCODY FEH KESSE CITE FDFP(Location),Prix :400 000XOF,Cocody Feh kesse,300 m2,Appartements,5,4,2024-07-18 12:44:47,N'dri         Ismael,https://annonces.abidjan.net/immobiliers/13147/details/duplex-5-pieces-a-louer-cocody-feh-kesse-cite-fdfp,Duplex 5 pièces à louer cocody cite fdfp secteur Feh kesse Faya 07 08 46 76 80/0140937623
VILLA 6 PIECES A LOUER COCODY ANGRE PRES ROND POINT ADO(Location),Prix :800 000XOF,Cocody Angre rond point ado,300 m2,Appartements,6,4,2024-07-18 12:44:53,N'dri         Ismael,https://annonces.abidjan.net/immobiliers/13146/details/villa-6-pieces-a-louer-cocody-angre-pres-rond-point-ado,#BUREAUX / #HABITATIONS 6 PIECES  AVEC UNE INDEPENDANTE A #LOUER  COCODY ANGRE SECTEUR LA SHISH (rond point Ado) #LOYER : 800 000F CFA COMMODITES : 1 grand salon  1 Terrasse 5 chambres dont 3 autonomes 1 indépendante  1 bureau 1  grande cuisine 1 Toilette visiteur 1 Garage 2 véhicules  TEL:+ 225 07 08 46 76 80 / 01 40 93 76 23
3 PIECES AU REZ DE CHAUSSÉE A LOUER COCODY ANGRE CHU(Location),Prix :250 000XOF,Cocody Angre chu,100 m2,Appartements,3,2,2024-07-18 12:44:57,N'dri         Ismael,https://annonces.abidjan.net/immobiliers/13025/details/3-pieces-au-rez-de-chaussee-a-louer-cocody-angre-chu,3 PIECES STANDING NEUF A LOUER COCODY ANGRE CHU AU REZ DE CHAUSSÉE DANS LE QUARTIER LOYER: 250 000F CFA TEL : 07 08 46 76 80/ 01 40 93 76 23
4 PIECES A LOUER COCODY ANGRE PRES MARCHES PUBLICS(Location),Prix :325 000XOF,Cocody Angre pres marchés publics,150 m2,Appartements,4,2,2024-07-18 12:45:01,N'dri         Ismael,https://annonces.abidjan.net/immobiliers/13024/details/4-pieces-a-louer-cocody-angre-pres-marches-publics,4 pièces standing avec parking à louer cocody angre non loin du marchés publics au 2eme étages Loyer : 325 milles le mois Tel: 07 08 46 76 80  / 01 40 93 76 23
BUREAUX 4 PIECES A LOUER COCODY RIVIERA M'BADON(Location),Prix :400 000XOF,Cocody Riviera mbadon,150 m2,Appartements,4,3,2024-07-18 12:45:07,N'dri         Ismael,https://annonces.abidjan.net/immobiliers/13022/details/bureaux-4-pieces-a-louer-cocody-riviera-m-badon,BUREAUX 4 PIECES A LOUER COCODY RIVIERA M'BADON AU 2EME ETAGES LOYER : 400 000F CFA TEL : 07 08 46 76 80  / 01 40 93 76 23
APPARTEMENTS DE 03 ET 04 PIECES EN LOCATION(Location),Prix :1 000 000XOF,"Abidjan Riviera 3, Jacques - Prévert",,Appartements,4,3,2024-07-18 12:45:10,SANDRA         K IMMO,https://annonces.abidjan.net/immobiliers/13012/details/appartements-de-03-et-04-pieces-en-location,LOCATIONCOCODY RIVIERA 3Appartements neufs de 03 et 04 pièces en location dans une cité :. Des chambres autonomes. Un séjour avec balcon. Une salle à manger. Une toilette visiteurs. Une buanderieCommodités :. Immeuble sécurisé avec caméras de surveillance. Placard et rangements installés. Climatiseurs et chauffe-eau installéLoyers :03 pièces : 800.00004 pièces : 1.000.000
RESIDENCES HARMONIE 5G(Location),Prix :20 000XOF,Yamoussoukro Ambassade,,Appartements,2,1,2024-07-18 12:45:14,Harmonie         5G,https://annonces.abidjan.net/immobiliers/12983/details/residences-harmonie-5g,𝐂𝐨𝐧𝐟𝐨𝐫𝐭 𝐞𝐭 𝐬𝐞𝐫𝐯𝐢𝐜𝐞𝐬 𝐢𝐧𝐭é𝐫𝐢𝐞𝐮𝐫𝐬 :✨ Wifi haut débit et chauffe-eau pour votre confort ✨ Climatisation pour des nuits paisibles ✨ TV connectée pour vos moments de détente ✨ Cuisine entièrement équipée pour préparer vos repas de rupture de jeûne ✨ Sécurité assurée 24h/24 pour une tranquillité d'esprit absolu
RESIDENCE MOYA(Location),Prix :25 000XOF,KOUMASSI AJAVON,,Appartements,1,1,2024-07-18 12:45:17,KONAN         LOUKOU,https://annonces.abidjan.net/immobiliers/12958/details/residence-moya,LOCATION STUDIO VIP MEUBLETRES CONFORTABLESITUE A KOUMASSI DERRIERE GREEN POWER ET A COTE DU COLLEGE JULES VALES25 000 PAR JOUR (24h)
bel appartement 4 pièces à louer à angré cité cnps(Location),Prix :550 000XOF,cocody angré cité cnps,200 m2,Appartements,4,3,2024-07-18 12:45:24,yoro         cyrille,https://annonces.abidjan.net/immobiliers/12954/details/bel-appartement-4-pieces-a-louer-a-angre-cite-cnps,Nous mettons en location un bel appartement 4 pièces à Cocody angre 8e tranche dans la cité CNPS au rez-de-chaussée avec pour commodités:- 3 belles chambres- 1 wc visiteur- 1 grande cuisine- 1 belle terrasse- 1 piscine commune- plusieurs airs de jeuxLoyer 550000/mois0707565354/0101162782
