title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Appartemnet 4 Pièces au Plateau,  1 000 000F CFA,,,Appartement,,,2024-07-18 12:34:35,yapgi-immobilier,https://www.yapgi-immobilier.com/locat334.html,"Plateau Cite esculape, en face de la BCEAO, appartement de 4 pièces au 7eme étage avec une belle vue, cuisine, buanderie, séjour, terrasse couverte, une chambre avec salle d'eau, 2 chambres se partageant la même salle d'eau, WC visiteur.LOCAT334    GRAND SEJOUR   3 CHAMBRES    4 SALLES D'EAU  BALCON"
Appartemnet 3 pièces Riviera triangle en face de l'ancien camp d'akouedo,  350 000F CFA,,,Appartement,,,2024-07-18 12:34:37,yapgi-immobilier,https://www.yapgi-immobilier.com/locat343.html,1 appartement de 3 pièces au 4e étage   Dans immeuble neuf  Parking interne sécurisé Chambres autonomeslocat343    GRAND SEJOUR   2 CHAMBRES  BALCON
Appartemnet 3 Pièces à ANOUMABO,  300 000F CFA,,,Appartement,,,2024-07-18 12:34:39,yapgi-immobilier,https://www.yapgi-immobilier.com/locat314.html,"Immeuble neuf avec magasin et appartement. Magasin ou entrepôt : 1000 000f et 1 500 000f.  Appartement de 3 pièces avec cuisine , séjour, wc visiteur , balcon, 2 chambres avec chacune une salle d’eau .LOCAT314    GRAND SEJOUR   2 CHAMBRES   BALCON"
Appartemnet 3 Pièces ANGRE 7ème TRANCHE, 350 000F CFA,,,Appartement,,,2024-07-18 12:34:42,yapgi-immobilier,https://www.yapgi-immobilier.com/locat228.html,
APPARTEMENTS 3 PIÈCES /  M'POUTO cité verdoyante,  350 000F CFA,,,Appartement,,,2024-07-18 12:34:45,yapgi-immobilier,https://www.yapgi-immobilier.com/locat332.html,2Chambres autonomes Séjour éclairé   Split Chauffe eau Parking interne Sécurité 24/24 Immeuble Propre et calmeLOCAT332    GRAND SEJOUR   3 PIECES   4 SALLES D'EAU  BALCON
Appartemnet 4 Pièces Cocody riviera Golf ambassade USA,  1 500 000F CFA,,,Appartement,,,2024-07-18 12:34:47,yapgi-immobilier,https://www.yapgi-immobilier.com/locat138.html,"Résidence avec piscine et groupe électrogène. Appartement de 4 pièces avec WC visiteur, 3 chambres avec salle d'eau dans chaque chambre; une terrasse.LOCAT138   GRAND SEJOUR   3 CHAMBRES   CUISINE     PISCINE   GARAGE  TERRASSE"
Appartemnet 4 Pièces à BASSAM,  230 000F CFA,,,Appartement,,,2024-07-18 12:34:49,yapgi-immobilier,https://www.yapgi-immobilier.com/locat259.html,Bassam quartier bon berger appartement de 3 chambres salonlocat259    GRAND SEJOUR   3 CHAMBRES  BALCON
Appartemnet 3 pièces  Riviera faya,  350 000F CFA,,,Appartement,,,2024-07-18 12:34:50,yapgi-immobilier,https://www.yapgi-immobilier.com/locat340.html,Appartement de 3 pièces / Riviera Faya  3 eme étage   2 chambres  Séjour spacieux  Balcon   Wc visiteur    Faya carrefour bon prixlocat340    GRAND SEJOUR   2 CHAMBRES  BALCON
Vallon / appartements  4 pièces,   500 000 / mois,,,Appartement,,,2024-07-18 12:34:51,yapgi-immobilier,https://www.yapgi-immobilier.com/locat338.html,"Dans un immeuble de standing propre et sécurisé .  Ascenseur, Chauffe-eau,  Parking externe surveillé  Camera de surveillance, gardiennage 24/24LOCAT338    4 PIECES    CUISINE    PARKING"
Appartemnet 3pièces  riviera 2,  400 000F CFA,,,Appartement,,,2024-07-18 12:34:52,yapgi-immobilier,https://www.yapgi-immobilier.com/locat341.html,Appartement 3 pièces au  2e étage   Parking interne sécurisé  Chauffe eau Chambres autonomes  Accès facile  Riviera 2 en face de Voodoo comlocat341   GRAND SEJOUR   2 CHAMBRES  BALCON
Appartemnet 3 pièces au RDC Abidjan plateaux indenier,  700 000F CFA,,,Appartement,,,2024-07-18 12:34:53,yapgi-immobilier,https://www.yapgi-immobilier.com/locat347.html,Bureaux 3pieces à louer/ Abidjan plateaux indenier Un bureau de 3 pièces au RDC   Plateaux indenier massa.locat347   GRAND SEJOUR   2 CHAMBRES  BALCON
Appartemnet 3 Pièces au 2 plateau - 7ème tranche   carrefour Arafat,  450 000F CFA,,,Appartement,,,2024-07-18 12:34:54,yapgi-immobilier,https://www.yapgi-immobilier.com/locat317.html,"2 plateau - 7ème tranche : carrefour Arafat, appartement duplex de 3 pièces disponible idéal en bureau compose au 01er niveau d'une entrée, une cuisine, un WC visiteur, un séjour, un balcon, l'étage 2 chambres avec chacune une salle d'eau.LOCAT317   SEJOUR   2 CHAMBRES    BALCON      TOILETTE VISITEURS   PARKING"
Appartemnet 3 Pièces au 2 plateaux 7ème tranche,  650 000F CFA,,,Appartement,,,2024-07-18 12:34:55,yapgi-immobilier,https://www.yapgi-immobilier.com/locat146.html,"2 plateaux 7ème tranche, non loin du carrefour opéra, dans une résidence sécurisée avec piscine, nous mettons en location un appartement de 3 pièces soit 2 chambres avec une de bain dans la chambre principale, grande cuisine, séjour donnant sur terrasse, coin buanderie, toilette visiteur.LOCAT146   GRAND SEJOUR   2 CHAMBRES   CUISINE"
