title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
,,,,Appartement,,,2024-06-20 10:57:26,yapgi-immobilier,https://www.yapgi-immobilier.com/locat138.html,
Appartemnet 3 Pièces au 2 plateaux 7ème tranche,  650 000F CFA,,,Appartement,,,2024-06-20 11:02:04,yapgi-immobilier,https://www.yapgi-immobilier.com/locat146.html,"2 plateaux 7ème tranche, non loin du carrefour opéra, dans une résidence sécurisée avec piscine, nous mettons en location un appartement de 3 pièces soit 2 chambres avec une de bain dans la chambre principale, grande cuisine, séjour donnant sur terrasse, coin buanderie, toilette visiteur.LOCAT146   GRAND SEJOUR   2 CHAMBRES   CUISINE"
,,,,Appartement,,,2024-06-20 11:02:04,yapgi-immobilier,https://www.yapgi-immobilier.com/locat317.html,
,,,,Appartement,,,2024-06-20 11:02:05,yapgi-immobilier,https://www.yapgi-immobilier.com/locat335.html,
Appartemnet 4 Pièces au Plateau,  1 200 000F CFA,,,Appartement,,,2024-06-20 11:02:38,yapgi-immobilier,https://www.yapgi-immobilier.com/locat334.html,"Plateau Cite esculape, en face de la BCEAO, appartement de 4 pièces au 7eme étage avec une belle vue, cuisine, buanderie, séjour, terrasse couverte, une chambre ave salle d'eau, 2 chambres se partageant la même salle d'eau, WC visiteur.LOCAT334    GRAND SEJOUR   3 CHAMBRES    4 SALLES D'EAU  BALCON"
,,,,Appartement,,,2024-06-20 11:02:38,yapgi-immobilier,https://www.yapgi-immobilier.com/locat332.html,
,,,,Appartement,,,2024-06-20 11:02:41,yapgi-immobilier,https://www.yapgi-immobilier.com/locat228.html,
,,,,Appartement,,,2024-06-20 11:02:41,yapgi-immobilier,https://www.yapgi-immobilier.com/locat329.html,
,,,,Appartement,,,2024-06-20 11:02:43,yapgi-immobilier,https://www.yapgi-immobilier.com/locat314.html,
,,,,Appartement,,,2024-06-20 11:02:44,yapgi-immobilier,https://www.yapgi-immobilier.com/locat259.html,
,,,,Appartement,,,2024-06-20 11:02:45,yapgi-immobilier,https://www.yapgi-immobilier.com/locat341.html,
,,,,Appartement,,,2024-06-20 11:02:45,yapgi-immobilier,https://www.yapgi-immobilier.com/locat340.html,
,,,,Appartement,,,2024-06-20 11:02:46,yapgi-immobilier,https://www.yapgi-immobilier.com/locat338.html,
,,,,Appartement,,,2024-06-20 11:02:47,yapgi-immobilier,https://www.yapgi-immobilier.com/locat343.html,
,,,,Appartement,,,2024-06-20 11:02:47,yapgi-immobilier,https://www.yapgi-immobilier.com/locat342.html,
,,,,Appartement,,,2024-06-20 11:02:47,yapgi-immobilier,https://www.yapgi-immobilier.com/locat347.html,
,,,,Appartement,,,2024-06-20 11:02:48,yapgi-immobilier,https://www.yapgi-immobilier.com/locat331.html,
