title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
,,,,Villa,,,2024-06-21 14:05:03,yapgi-immobilier,https://www.yapgi-immobilier.com/locat336.html,"1 séjour spacieux et éclairé, 5 chambres autonomes, Splits, Jardin Piscine Garage motorisé 4 voitures  Cuisine équipée  1Dépendance Suppresseur + réserve d'eau installé.LOCAT336    GRAND SEJOUR   5 CHAMBRES  CUISINE    JARDIN PISCINE    GARAGE"
,,,,Villa,,,2024-06-21 14:05:05,yapgi-immobilier,https://www.yapgi-immobilier.com/locat336.html,"1 séjour spacieux et éclairé, 5 chambres autonomes, Splits, Jardin Piscine Garage motorisé 4 voitures  Cuisine équipée  1Dépendance Suppresseur + réserve d'eau installé.LOCAT336    GRAND SEJOUR   5 CHAMBRES  CUISINE    JARDIN PISCINE    GARAGE"
Villa 4 pièces à  Grand Bassam, 1 000 000F CFA,,,Villa,,,2024-06-21 14:05:09,yapgi-immobilier,https://www.yapgi-immobilier.com/locat307.html,"Grand Bassam: ancienne route, dans la cité Alitalia, securisée, villa duplex de 3 chambres avec dépendante et cuisine africaine, jardin.LOCAT307    GRAND SEJOUR   3 CHAMBRES  CUISINE AFRICAINE  JARDIN DEPENDANTE  GARAGE  SECURITE"
Villa 4 pièces à  Grand Bassam, 1 000 000F CFA,,,Villa,,,2024-06-21 14:05:10,yapgi-immobilier,https://www.yapgi-immobilier.com/locat307.html,"Grand Bassam: ancienne route, dans la cité Alitalia, securisée, villa duplex de 3 chambres avec dépendante et cuisine africaine, jardin.LOCAT307    GRAND SEJOUR   3 CHAMBRES  CUISINE AFRICAINE  JARDIN DEPENDANTE  GARAGE  SECURITE"
Villa 5 chambres à la Riviera palmeraie Saint Viateur, 650 000F CFA,,,Villa,,,2024-06-21 14:05:13,yapgi-immobilier,https://www.yapgi-immobilier.com/locat333.html,"Riviera palmeraie Saint Viateur, sipim 4 : Villa duplex de 5 chambres, cuisine grand séjour, jardin.LOCAT333    GRAND SEJOUR   5 CHAMBRES  CUISINE    JARDIN GARAGE  SECURITE"
Villa 5 chambres à la Riviera palmeraie Saint Viateur, 650 000F CFA,,,Villa,,,2024-06-21 14:05:14,yapgi-immobilier,https://www.yapgi-immobilier.com/locat333.html,"Riviera palmeraie Saint Viateur, sipim 4 : Villa duplex de 5 chambres, cuisine grand séjour, jardin.LOCAT333    GRAND SEJOUR   5 CHAMBRES  CUISINE    JARDIN GARAGE  SECURITE"
Villa base 4 Pièces ancienne route de Bassam, 800 000F CFA,,,Villa,,,2024-06-21 14:05:16,yapgi-immobilier,https://www.yapgi-immobilier.com/locat339.html,Belle villa basse neuve de 3 chambres autonomes dont la principale avec dressing.LOCAT339    GRAND SEJOUR   3 CHAMBRES  CUISINE    JARDIN PISCINE    GARAGE    GUERITE
Villa base 4 Pièces ancienne route de Bassam, 800 000F CFA,,,Villa,,,2024-06-21 14:05:17,yapgi-immobilier,https://www.yapgi-immobilier.com/locat339.html,Belle villa basse neuve de 3 chambres autonomes dont la principale avec dressing.LOCAT339    GRAND SEJOUR   3 CHAMBRES  CUISINE    JARDIN PISCINE    GARAGE    GUERITE
Villa 5 Pièces Cocody angré 8ème tranche, 2 000 000F CFA,,,Villa,,,2024-06-21 14:05:20,yapgi-immobilier,https://www.yapgi-immobilier.com/locat330.html,"Dans la nouvelle cité Elite, Villa duplex de 5 pièces avec dépendance , piscine. Descriptif : Garage 2 voiture, guérite de sécurité avec salle d'eau, entrée, Toilette visiteur, chambre ami avec salle d'eau, buanderie, dépendance, séjour lumineux, cuisine aménagée et équipée, terrasse, jardin, piscine. A l'étage, une salle TV, 2 chambre enfants avec chacune une salle d'eau, une chambre principale avec salle de bain et dressing.LOCAT330    GRAND SEJOUR   4 CHAMBRES   CUISINE    JARDIN  DEPENDANTE   GARAGE  SECURITE"
Villa 5 Pièces Cocody angré 8ème tranche, 2 000 000F CFA,,,Villa,,,2024-06-21 14:05:21,yapgi-immobilier,https://www.yapgi-immobilier.com/locat330.html,"Dans la nouvelle cité Elite, Villa duplex de 5 pièces avec dépendance , piscine. Descriptif : Garage 2 voiture, guérite de sécurité avec salle d'eau, entrée, Toilette visiteur, chambre ami avec salle d'eau, buanderie, dépendance, séjour lumineux, cuisine aménagée et équipée, terrasse, jardin, piscine. A l'étage, une salle TV, 2 chambre enfants avec chacune une salle d'eau, une chambre principale avec salle de bain et dressing.LOCAT330    GRAND SEJOUR   4 CHAMBRES   CUISINE    JARDIN  DEPENDANTE   GARAGE  SECURITE"
