title,price,localisation,superficie,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description
Location appartement 4 pièces - Marcory Zone 4,3 500 000 CFA,"Marcory, Abidjan, Côte d'Ivoire",150 m2,Appartements,4,3,2024-06-05 08:51:19,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-marcory-zone-4-4765377,En location*   ☑️un  appartement meublé de haut standing 4 pièces à louer a marcory zone 4. composé de : -03 chambre autonomes avec placard -01 séjour spacieux -01 salle à mangé -01 cuisine équipée -01 toilette visiteur -parking -résidence sécurisée -salle de sport -acces bitumé -splits installés -chauffe eau installé ☑️nuitée:250m ☑️loyer mensuel:3.5m visite possible sur rendez vous```
Location appartements 3 pièces - Angré,500 000 CFA,"Angré, Abidjan, Côte d'Ivoire",,Appartements,3,2,2024-06-05 08:51:37,AC immobilier,https://ci.coinafrique.com/annonce/appartements/location-appartements-3-pieces-angre-4774588,de très beaux et grand appartement à louer à angré  nouveau chu non loin de la pharmacie sainte clementine   3 pièces avec de grand balcon pour chaque pièce  toutes les pièces sont climatisé y compris la cuisine  2 chambre autonome  cuisine équipé parking interne sécurité 7 jour / 7. et 24h / 24 h immeuble de 4 étages avec ascenseur 1 groupe électrogène (soyez serein pendant les coupures d’électricité   loyer 500 mille et  600 mille par mois
Location appartement 3 pièces - Cocody Riviera M'badon,450 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",120 m2,Appartements,3,2,2024-06-05 08:51:53,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-riviera-mbadon-4777568,En location un  appartement de standing 3 pièces à louer a la riviera m'badon. composé de : -02 chambre autonome avec placard -01 séjour spacieux -01 cuisine moderne -01 toilette visiteur -parking -résidence sécurisée -acces bitumé -chauffe eau installé loyer:550k/450k visite possible sur rendez vous
Location appartement haut standing 4 pièces - Cocody Riviera Palmeraie,800 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",130 m2,Appartements,4,3,2024-06-05 08:52:08,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-haut-standing-4-pieces-cocody-riviera-palmeraie-4752958,En location un  appartement de haut standing 4pièces à louer a la riviera palmeraie. composé de : -03 chambre autonome avec placard -01 séjour spacieux -01 cuisine moderne  -01 toilette visiteur -parking interne -résidence sécurisée -acces bitumé -chauffe eau/splits installés -ascenseur disponible -piscine commune ☑️loyer:800k/900k visite possible sur rendez vous```
Location appartement 4 pièces - Cocody 2 Plateaux 9ème tranche cgk,600 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",150 m2,Appartements,4,3,2024-06-05 08:52:24,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cocody-2-plateaux-9eme-tranche-cgk-4768972,En location  ☑️```un appartement de standing 4pièces spacieuses à louer a cocody 2 plateaux 9ème tranche non loin de cgk. composé de: -3 chambres autonomes avec placards -1 séjour spacieux avec grande terrasse -1 cuisine moderne - chauffe eau/splits installés -01 buanderie - ascenseur  - parking interne/externe - résidence sécurisé - acces bitumé - toilette visiteur ☑️loyer:600k visite possible sur rendez-vous```
Location appartement 4 pièces - Cocody Riviera Golf,1 300 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",130 m2,Appartements,4,3,2024-06-05 08:52:40,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cocody-riviera-golf-4739970,En location*   ☑️un  appartement de 4 pièces haut standing à louer a la riviera golf a proximité de l'ambassade de usa. composé de : -03 chambre autonome avec placard -01 séjour spacieux avec balcon -01 cuisine moderne -01 toilette visiteur -01 piscine commune -01 groupe électrogène -parking interne/externe -résidence sécurisée -acces bitumé -splits installés -chauffe eau installé ☑️loyer:1.5m négociable visite possible sur rendez vous```
Location appartement 4 pièces - Cocody 2 Plateaux Vallon,1 800 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",,Appartements,4,4,2024-06-05 08:52:55,Maxime Shep,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cocody-2-plateaux-vallon-4775539,"Location - deux plateaux - vallon  d’un appartement de 4 pièces de haut standing avec piscine, parking interne. composé de : - 01 séjour très spacieux avec des baies vitrées offrant une vue agréable sur la piscine. - 03 chambres spacieuses et lumineuses autonomes  - 01 cuisine entièrement équipée  - salle à manger  - toilettes visiteurs  - 01 terrasse. commodités : splits installés 28 caméras de surveillance  1 groupe électrogène  sécurité 24h/24 2 machines dont une à laver et l’autre à sécher. une piscine ???? olympique  loyer mensuel : 1,800,000 xof y compris l’eau et le gaz butane."
Location appartement t4 - Angré 8éme Tranche,1 000 000 CFA,"Angré, Abidjan, Côte d'Ivoire",,Appartements,4,4,2024-06-05 08:53:11,SAS EMPIRE,https://ci.coinafrique.com/annonce/appartements/location-appartement-t4-angre-8eme-tranche-4777343,"Angré 8ème tranche location d'un grand appartement sous forme de penthouse (t4) avec ascenseur privé à cocody angré 8ème tranche dans une zone calme et sécurisée. 3 grandes chambres, un grand salon, de grandes baies vitrées, deux terrasses, balcon, baignoire, climatisation, magnifique cuisine moderne, buanderie, chauffe-eau, grande salle d'eau visiteurs, parking interne... ps : visite possible uniquement sur rdv ferme ⚠️ avec les frais  loyer : 1.000.000 xof frais de visite. 5000"
Location appartement 2 pièces - Angré,35 000 CFA,"Angré, Abidjan, Côte d'Ivoire",100 m2,Appartements,2,1,2024-06-05 08:53:25,CONQUERANT STORE,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-angre-4768879,Chambre salon meublee ]  internet fibre netflix iptv  eau chaude le coin est calme une petite terrasse  situé à angre gestoci   réduction à partir d’un mois
Location appartement 3 pièces - Cocody 2 plateaux vallon,550 000 CFA,"Cocody, Abidjan, Côte d'Ivoire",110 m2,Appartements,3,2,2024-06-05 08:53:41,Immobilier d'ici,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-2-plateaux-vallon-4770395,En location*   ☑️```un  appartement de standing 3 pièces spacieux à louer a cocody 2 plateaux les vallons. composé de : -2 chambres autonomes avec placards -1 séjour avec balcon -1cuisine moderne -1toilette visiteur -ascenseur disponible -parking interne/externe -résidence sécurisée ☑️loyer:550.000f visite possible sur rendez vous```
